id,x_original,x_updated,x_ratio,r_original,r_updated,r_ratio,b_original,b_updated,b_ratio
Line_16446,0.0250159522666667,0.0250159522666667,1.0,0.0027869922,0.0027869922,1.0,3.940014648e-06,3.940014648e-06,1.0
Line_11831,0.149969852032485,0.149969852032485,1.0,0.0280056551107329,0.0280056551107329,1.0,0.0001050564510953,0.0001050564510953,1.0
Line_6365,0.179970550778765,0.179970550778765,1.0,0.0200502385822505,0.0200502385822505,1.0,5.0394658963741e-05,5.0394658963741e-05,1.0
Line_6371,0.0128342214163605,0.0128342214163605,1.0,0.0014298459786021,0.0014298459786021,1.0,8.99343596860126e-07,8.99343596860126e-07,1.0
Line_5821,0.048909319710595,0.048909319710595,1.0,0.0169694426604854,0.0169694426604854,1.0,5.42286232416278e-07,5.42286232416278e-07,1.0
Line_16627,0.0613124232953477,0.0613124232953477,1.0,0.0212728130957195,0.0212728130957195,1.0,6.78631534396105e-07,6.78631534396105e-07,1.0
Line_16621,0.0290353779990372,0.0290353779990372,1.0,0.0100740566593318,0.0100740566593318,1.0,7.69284843298825e-07,7.69284843298825e-07,1.0
Line_25028,0.0774395754338115,0.0774395754338115,1.0,0.0268682261548969,0.0268682261548969,1.0,3.41117893152167e-06,3.41117893152167e-06,1.0
Line_3100,0.055303292,0.055303292,1.0,0.019187938,0.019187938,1.0,6.0833476e-07,6.0833476e-07,1.0
Line_11866,0.0397253164,0.0397253164,1.0,0.0137830132,0.0137830132,1.0,4.36978432e-07,4.36978432e-07,1.0
Line_11883,0.059231436,0.059231436,1.0,0.0205508336,0.0205508336,1.0,6.5154628e-07,6.5154628e-07,1.0
Line_6942,0.0526029708372065,0.0526029708372065,1.0,0.0058604147517649,0.0058604147517649,1.0,9.21864683986348e-07,9.21864683986348e-07,1.0
Line_16835,0.047542256,0.047542256,1.0,0.005296592,0.005296592,1.0,1.331183168e-05,1.331183168e-05,1.0
Line_16836,0.110990172,0.110990172,1.0,0.0123652608,0.0123652608,1.0,7.7692976e-06,7.7692976e-06,1.0
Line_6966,0.160790213549399,0.160790213549399,1.0,0.0557873788545385,0.0557873788545385,1.0,1.77276897328564e-06,1.77276897328564e-06,1.0
Line_7038,0.387819729577243,0.387819729577243,1.0,0.134556787454298,0.134556787454298,1.0,6.82906444005032e-05,6.82906444005032e-05,1.0
Line_16924,1.2920365195924,1.2920365195924,1.0,0.143943588630305,0.143943588630305,1.0,9.04653028585346e-05,9.04653028585346e-05,1.0
Line_7018,0.097239956,0.097239956,1.0,0.033738188,0.033738188,1.0,4.27855032e-06,4.27855032e-06,1.0
Line_3131,1.11950963980117,1.11950963980117,1.0,0.124722918910482,0.124722918910482,1.0,7.83859415239327e-05,7.83859415239327e-05,1.0
Line_3134,0.0594348174027438,0.0594348174027438,1.0,0.0066215397661039,0.0066215397661039,1.0,1.04126431292408e-06,1.04126431292408e-06,1.0
Line_16825,0.0463509853988072,0.0463509853988072,1.0,0.0051638832816098,0.0051638832816098,1.0,8.12318862903422e-07,8.12318862903422e-07,1.0
Line_17083,0.0482166314830341,0.0482166314830341,1.0,0.0053717369074873,0.0053717369074873,1.0,3.37662978525022e-06,3.37662978525022e-06,1.0
Line_16842,0.0821018110745453,0.0821018110745453,1.0,0.028485825140835,0.028485825140835,1.0,2.4381698868816e-06,2.4381698868816e-06,1.0
Line_17251,0.107473463020359,0.107473463020359,1.0,0.037288781514825,0.037288781514825,1.0,1.18614851276677e-06,1.18614851276677e-06,1.0
Line_17277,0.108739698,0.108739698,1.0,0.0121145102,0.0121145102,1.0,7.61178608e-06,7.61178608e-06,1.0
Line_11904,0.0096394796616626,0.0096394796616626,1.0,0.0033444861772591,0.0033444861772591,1.0,9.56796221070117e-07,9.56796221070117e-07,1.0
Line_3143,0.93725860273714,0.93725860273714,1.0,0.325190017213363,0.325190017213363,1.0,4.12540280603101e-05,4.12540280603101e-05,1.0
Line_3164,0.1100332332,0.1100332332,1.0,0.01225863584,0.01225863584,1.0,1.92558844e-06,1.92558844e-06,1.0
Line_7638,0.128808194281461,0.128808194281461,1.0,0.0143503128258488,0.0143503128258488,1.0,2.02982992839744e-05,2.02982992839744e-05,1.0
Line_7773,0.184863483581073,0.184863483581073,1.0,0.0205953737452318,0.0205953737452318,1.0,5.17648732635992e-05,5.17648732635992e-05,1.0
Line_18072,0.0545353930041955,0.0545353930041955,1.0,0.006075709509382,0.006075709509382,1.0,3.81914627403636e-06,3.81914627403636e-06,1.0
Line_23749,0.0208131127982409,0.0208131127982409,1.0,0.0023187529956225,0.0023187529956225,1.0,3.27944500742771e-06,3.27944500742771e-06,1.0
Line_25195,0.112012442666667,0.112012442666667,1.0,0.0388635866666667,0.0388635866666667,1.0,1.108924344e-05,1.108924344e-05,1.0
Line_18158,1.27228760247597,1.27228760247597,1.0,0.14174396480893,0.14174396480893,1.0,8.90854276225138e-05,8.90854276225138e-05,1.0
Line_8511,0.0726980093219667,0.0726980093219667,1.0,0.0080991660421583,0.0080991660421583,1.0,1.27344305700144e-06,1.27344305700144e-06,1.0
Line_18164,0.0572909186873606,0.0572909186873606,1.0,0.0063826736457941,0.0063826736457941,1.0,9.02520030470526e-06,9.02520030470526e-06,1.0
Line_8514,0.0286038106121736,0.0286038106121736,1.0,0.0031867022085931,0.0031867022085931,1.0,2.00307815733714e-06,2.00307815733714e-06,1.0
Line_18167,0.0930256442103879,0.0930256442103879,1.0,0.0103638443203778,0.0103638443203778,1.0,1.62914506600228e-06,1.62914506600228e-06,1.0
Line_18159,0.063185996570111,0.063185996570111,1.0,0.0070394515630158,0.0070394515630158,1.0,1.19979724337078e-06,1.19979724337078e-06,1.0
Line_8555,0.655233198248155,0.655233198248155,1.0,0.0729982879075342,0.0729982879075342,1.0,4.58756607177372e-05,4.58756607177372e-05,1.0
Line_17829,0.133379090785391,0.133379090785391,1.0,0.0148595808560508,0.0148595808560508,1.0,2.33555744117852e-06,2.33555744117852e-06,1.0
Line_18160,0.0623220592520309,0.0623220592520309,1.0,0.0069432082531663,0.0069432082531663,1.0,1.09190390735204e-06,1.09190390735204e-06,1.0
Line_18523,0.0591306649062913,0.0591306649062913,1.0,0.0065876650752301,0.0065876650752301,1.0,1.03610038885677e-06,1.03610038885677e-06,1.0
Line_9391,0.836476843289026,0.836476843289026,1.0,0.093190774216911,0.093190774216911,1.0,5.85659960493704e-05,5.85659960493704e-05,1.0
Line_3348,0.0172981482342766,0.0172981482342766,1.0,0.0032119306844355,0.0032119306844355,1.0,4.15438488965651e-05,4.15438488965651e-05,1.0
Line_19446,0.062910535882658,0.062910535882658,1.0,0.0070087714336881,0.0070087714336881,1.0,1.10215582265214e-06,1.10215582265214e-06,1.0
Line_11910,0.0604237092565471,0.0604237092565471,1.0,0.0067317193489665,0.0067317193489665,1.0,1.35322553669612e-06,1.35322553669612e-06,1.0
Line_23685,0.0716021133420423,0.0716021133420423,1.0,0.0248429219243217,0.0248429219243217,1.0,7.09235217709985e-06,7.09235217709985e-06,1.0
Line_647,0.0667339030610627,0.0667339030610627,1.0,0.0231539034919044,0.0231539034919044,1.0,7.38125123115453e-07,7.38125123115453e-07,1.0
Line_22564,0.45671898217862,0.45671898217862,1.0,0.0508823881708033,0.0508823881708033,1.0,3.1980475492403e-05,3.1980475492403e-05,1.0
