bus0,bus1,type,carrier,x_x,r_x,g,b_x,s_nom_x,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,build_year,lifetime,capital_cost,length,terrain_factor,num_parallel,v_ang_min,v_ang_max,geom,s_nom_mod,sub_network,v_nom_x,x_pu,r_pu,b_pu,g_pu,x_pu_eff,r_pu_eff,s_nom_opt,geometry,id,length_m,id_dlr,match_id,geometry_net,bus0_net,bus1_net,length_m_net,geometry_dlr,bus0_dlr,bus1_dlr,length_m_dlr,r_y,x_y,b_y,TSO,v_nom_y,Imax,s_nom_y,match_type,length_ratio,length_within_tolerance,r_net,x_net,b_net,TSO_net,v_nom_net,Imax_net,s_nom_net,line_ratio
Bus_10076,Bus_10073,,AC,0.22600743,0.078415018,0.0,3.97772496e-05,2080.0,True,2080.0,6218.755219495297,0.7,0,40.0,116.889344063642,2.872182947266516,1.0,4.0,-inf,inf,"MULTILINESTRING ((6.770827 51.143902, 6.770827 51.143902, 6.773427 51.142324, 6.777302 51.14002, 6.780795 51.137868, 6.783987 51.135936, 6.787218 51.133996, 6.790204 51.132237, 6.793584 51.130235, 6.796998 51.128212, 6.800601 51.126066, 6.800601 51.126066))",0.0,0,220.0,4.669575e-06,1.620145e-06,1.92521888064,0.0,4.669575e-06,1.620145e-06,2080.0,"MULTILINESTRING ((6.770827 51.143902, 6.770827 51.143902, 6.773427 51.142324, 6.777302 51.14002, 6.780795 51.137868, 6.783987 51.135936, 6.787218 51.133996, 6.790204 51.132237, 6.793584 51.130235, 6.796998 51.128212, 6.800601 51.126066, 6.800601 51.126066))",4,2877.3286876546713,,,,,,,,,,,,,,,,,,,,,0.13739691880994617,0.7616568325333972,1.3321527345486087e-05,Amprion GmbH,220,,340.56,
Bus_1014,Bus_1013,,AC,0.0597289538389392,0.0207234356631904,0.0,2.631440884763995e-06,1040.9382334478908,True,1040.9382334478908,6218.755219495297,0.7,0,40.0,15.47229696514403,0.3801823669583993,1.0,2.0,-inf,inf,"MULTILINESTRING ((8.550159 49.43243, 8.550159 49.43243, 8.547743 49.435467, 8.547743 49.435467))",0.0,0,220.0,1.2340692941929592e-06,4.281701583303819e-07,0.1273617388225773,0.0,1.2340692941929592e-06,4.281701583303819e-07,1040.9382334478908,"MULTILINESTRING ((8.550159 49.43243, 8.550159 49.43243, 8.547743 49.435467, 8.547743 49.435467))",10,380.37615863248993,,,,,,,,,,,,,,,,,,,,,0.012924379900273033,0.11049572117382578,1.915476064514978e-06,Amprion GmbH,400,,1238.4,
Bus_1020,Bus_1014,,AC,0.035171806452081,0.0122031356135521,0.0,3.9089907243788857e-07,523.7442319270905,True,523.7442319270905,6218.755219495297,0.7,0,40.0,4.565907013136766,0.1121926071789388,1.0,1.0,-inf,inf,"MULTILINESTRING ((8.547743 49.435467, 8.547743 49.435467, 8.546196 49.435542, 8.546196 49.435542))",0.0,0,220.0,7.266902159520876e-07,2.521309011064493e-07,0.0189195151059938,0.0,7.266902159520876e-07,2.521309011064493e-07,523.7442319270905,"MULTILINESTRING ((8.547743 49.435467, 8.547743 49.435467, 8.546196 49.435542, 8.546196 49.435542))",17,112.47265647382214,,,,,,,,,,,,,,,,,,,,,0.0038215837340769064,0.032672256153199984,5.663832406388367e-07,Amprion GmbH,400,,1238.4,
Bus_1020,Bus_1018,,AC,2.611006711159346,0.9059076161759366,0.0,0.0001149228767476,1040.2488304914168,True,1040.2488304914168,6218.755219495297,0.7,0,40.0,676.2550559148784,16.61681186733284,1.0,2.0,-inf,inf,"MULTILINESTRING ((8.546196 49.435542, 8.546196 49.435542, 8.544801 49.432741, 8.543241 49.429912, 8.541638 49.427025, 8.540007 49.424092, 8.542032 49.422015, 8.544024 49.419964, 8.546166 49.417787, 8.545925 49.414718, 8.545688 49.411435, 8.544438 49.408924, 8.543378 49.406794, 8.543324 49.403524, 8.543228 49.400289, 8.543169 49.396954, 8.543073 49.393968, 8.541871 49.390871, 8.540736 49.387791, 8.539654 49.384926, 8.53851 49.38191, 8.537287 49.378732, 8.5382 49.375756, 8.539078 49.372893, 8.539969 49.370015, 8.540871 49.367089, 8.541729 49.364294, 8.539531 49.362058, 8.53708 49.359538, 8.534594 49.356996, 8.532179 49.354492, 8.529859 49.352144, 8.527589 49.349772, 8.525071 49.347216, 8.522568 49.344666, 8.520357 49.342395, 8.517924 49.339935, 8.515545 49.337479, 8.513138 49.335, 8.513143 49.332375, 8.513136 49.32954, 8.513165 49.326471, 8.513172 49.323482, 8.513209 49.320633, 8.513217 49.317718, 8.513202 49.31478, 8.513216 49.31206, 8.513224 49.309059, 8.513238 49.306162, 8.513246 49.303213, 8.513261 49.300229, 8.513268 49.297093, 8.513244 49.29437, 8.513244 49.29437))",0.0,0,220.0,5.39464196520526e-05,1.8717099507767285e-05,5.5622672345846045,0.0,5.39464196520526e-05,1.8717099507767285e-05,1040.2488304914168,"MULTILINESTRING ((8.546196 49.435542, 8.546196 49.435542, 8.544801 49.432741, 8.543241 49.429912, 8.541638 49.427025, 8.540007 49.424092, 8.542032 49.422015, 8.544024 49.419964, 8.546166 49.417787, 8.545925 49.414718, 8.545688 49.411435, 8.544438 49.408924, 8.543378 49.406794, 8.543324 49.403524, 8.543228 49.400289, 8.543169 49.396954, 8.543073 49.393968, 8.541871 49.390871, 8.540736 49.387791, 8.539654 49.384926, 8.53851 49.38191, 8.537287 49.378732, 8.5382 49.375756, 8.539078 49.372893, 8.539969 49.370015, 8.540871 49.367089, 8.541729 49.364294, 8.539531 49.362058, 8.53708 49.359538, 8.534594 49.356996, 8.532179 49.354492, 8.529859 49.352144, 8.527589 49.349772, 8.525071 49.347216, 8.522568 49.344666, 8.520357 49.342395, 8.517924 49.339935, 8.515545 49.337479, 8.513138 49.335, 8.513143 49.332375, 8.513136 49.32954, 8.513165 49.326471, 8.513172 49.323482, 8.513209 49.320633, 8.513217 49.317718, 8.513202 49.31478, 8.513216 49.31206, 8.513224 49.309059, 8.513238 49.306162, 8.513246 49.303213, 8.513261 49.300229, 8.513268 49.297093, 8.513244 49.29437, 8.513244 49.29437))",18,16618.511759948044,,,,,,,,,,,,,,,,,,,,,0.5916831411637679,5.092101077734003,9.473444838028078e-05,TRANSNETBW,220,,498.74,
Bus_10230,Bus_10229,,AC,0.0146425931999999,0.00163130846,0.0,1.02498008e-06,3580.0,True,3580.0,10741.486288219148,0.7,0,40.0,4.733738227126005,0.1163165241595702,1.0,2.0,-inf,inf,"MULTILINESTRING ((7.970292 51.67557, 7.970292 51.67557, 7.969158 51.676344, 7.969158 51.676344))",0.0,0,380.0,1.0140299999999998e-07,1.129715e-08,0.148007123552,0.0,1.0140299999999998e-07,1.129715e-08,3580.0,"MULTILINESTRING ((7.970292 51.67557, 7.970292 51.67557, 7.969158 51.676344, 7.969158 51.676344))",22,116.44727639978308,,,,,,,,,,,,,,,,,,,,,0.001834799539591761,0.03246494754508995,6.018681476261836e-07,Amprion GmbH,400,,1032.0,
Bus_10273,Bus_10272,,AC,0.0054016974706293,0.000601794847946,0.0,3.790113351070021e-07,3586.005033188539,True,3586.005033188539,10741.486288219148,0.7,0,40.0,1.7463895522712278,0.0429119551615143,1.0,2.0,-inf,inf,"MULTILINESTRING ((8.014885 50.639162, 8.014885 50.639162, 8.015466 50.639276, 8.015466 50.639276))",0.0,0,380.0,3.7407877220424764e-08,4.1675543486570995e-09,0.0547292367894511,0.0,3.7407877220424764e-08,4.1675543486570995e-09,3586.005033188539,"MULTILINESTRING ((8.014885 50.639162, 8.014885 50.639162, 8.015466 50.639276, 8.015466 50.639276))",28,42.99765456575073,438,436,"MULTILINESTRING ((430340.7655658965 5610162.613193269, 430340.7655658965 5610162.613193269, 430382.01674883347 5610174.743247039, 430382.01674883347 5610174.743247039))",Bus_10273,Bus_10272,42.99765456575073,"LINESTRING (430369.63877772074 5610200.175390835, 463198.75632696605 5604465.285717722)",_1138993277,_24536211,33326.26469655642,0.521,4.571,7.82e-05,Amprion GmbH,400,,1044.8,one_to_many,,,0.521,4.571,7.82e-05,Amprion GmbH,400,,1044.8,1.0
Bus_10282,Bus_10279,,AC,0.1471328784931438,0.0163918756274906,0.0,1.0302716088447352e-05,3580.733261936756,True,3580.733261936756,10741.486288219148,0.7,0,40.0,47.554948423845104,1.1685112361203789,1.0,2.0,-inf,inf,"MULTILINESTRING ((8.477831 50.594254, 8.477831 50.594254, 8.473965 50.59605, 8.469219 50.598289, 8.464526 50.600507, 8.464526 50.600507))",0.0,0,380.0,1.0189257513375615e-06,1.135171442346998e-07,1.4877122031717978,0.0,1.0189257513375615e-06,1.135171442346998e-07,3580.733261936756,"MULTILINESTRING ((8.477831 50.594254, 8.477831 50.594254, 8.473965 50.59605, 8.469219 50.598289, 8.464526 50.600507, 8.464526 50.600507))",29,1170.576334559331,,,,,,,,,,,,,,,,,,,,,0.01797239073716181,0.156768206068697,2.7180149838666446e-06,TENNETGMBH,400,,1044.8,
Bus_10453,Bus_10451,,AC,0.0400611669682228,0.0138995242825889,0.0,4.448591997450853e-07,523.3619520796468,True,523.3619520796468,6218.755219495297,0.7,0,40.0,5.208021795193391,0.1279705306670426,1.0,1.0,-inf,inf,"MULTILINESTRING ((8.421636 49.63916, 8.421636 49.63916, 8.422665 49.640098, 8.422665 49.640098))",0.0,0,220.0,8.277100613269176e-07,2.87180253772498e-07,0.0215311852676621,0.0,8.277100613269176e-07,2.87180253772498e-07,523.3619520796468,"MULTILINESTRING ((8.421636 49.63916, 8.421636 49.63916, 8.422665 49.640098, 8.422665 49.640098))",43,128.0459127883752,,,,,,,,,,,,,,,,,,,,,0.005823730168321733,0.041238675049577435,6.080948478030441e-07,Amprion GmbH,400,,282.04,
Bus_1067,Bus_1063,,AC,0.985868141633232,0.3420555377868124,0.0,4.339772836588903e-05,1040.291005304452,True,1040.291005304452,6218.755219495297,0.7,0,40.0,255.0424798475504,6.266855779837919,1.0,2.0,-inf,inf,"MULTILINESTRING ((13.506422 52.431206, 13.506422 52.431206, 13.505555 52.431703, 13.501733 52.433928, 13.498994 52.435491, 13.494857 52.437057, 13.4908 52.4386, 13.487108 52.440634, 13.483021 52.442897, 13.480359 52.444292, 13.479164 52.444993, 13.476527 52.446453, 13.478759 52.44902, 13.481214 52.451854, 13.483229 52.454302, 13.485453 52.457007, 13.487434 52.459466, 13.49003 52.461269, 13.491994 52.462603, 13.494599 52.465214, 13.497397 52.46816, 13.500185 52.471099, 13.502299 52.473346, 13.503362 52.47444, 13.503362 52.47444))",0.0,0,220.0,2.036917648002545e-05,7.06726317741348e-06,2.100450052909029,0.0,2.036917648002545e-05,7.06726317741348e-06,1040.291005304452,"MULTILINESTRING ((13.506422 52.431206, 13.506422 52.431206, 13.505555 52.431703, 13.501733 52.433928, 13.498994 52.435491, 13.494857 52.437057, 13.4908 52.4386, 13.487108 52.440634, 13.483021 52.442897, 13.480359 52.444292, 13.479164 52.444993, 13.476527 52.446453, 13.478759 52.44902, 13.481214 52.451854, 13.483229 52.454302, 13.485453 52.457007, 13.487434 52.459466, 13.49003 52.461269, 13.491994 52.462603, 13.494599 52.465214, 13.497397 52.46816, 13.500185 52.471099, 13.502299 52.473346, 13.503362 52.47444, 13.503362 52.47444))",51,6282.24597656862,,,,,,,,,,,,,,,,,,,,,0.6153100426869793,2.3206843784409497,4.3537999207182585e-05,50HERTZ,220,960.0,211.2,
Bus_10701,Bus_10700,,AC,0.0038691125411711,0.0013424185086099,0.0,1.7276987806019735e-07,1050.9710441227603,True,1050.9710441227603,6218.755219495297,0.7,0,40.0,1.0095364018522497,0.0248061383291372,1.0,2.0,-inf,inf,"MULTILINESTRING ((6.703146 49.829809, 6.703146 49.829809, 6.703185 49.83003, 6.703185 49.83003))",0.0,0,220.0,7.99403417597355e-08,2.7735919599378154e-08,0.0083620620981135,0.0,7.99403417597355e-08,2.7735919599378154e-08,1050.9710441227603,"MULTILINESTRING ((6.703146 49.829809, 6.703146 49.829809, 6.703185 49.83003, 6.703185 49.83003))",56,24.738931007691583,,,,,,,,,,,,,,,,,,,,,0.0018821468674542266,0.009582891067487073,9.709528100368708e-08,Amprion GmbH,220,,283.8,
