scn_name,bus0,bus1,model,r,g,b,s_nom,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,tap_ratio,tap_side,tap_position,phase_shift,build_year,lifetime,v_ang_min,v_ang_max,capital_cost,num_parallel,geom,topo,type,s_nom_mod,sub_network,x_pu,r_pu,g_pu,b_pu,x_pu_eff,r_pu_eff,s_nom_opt,x,v_nom,v_nom_secondary
status2023,BUS_37501,BUS_37502,t,0.0042038535324047,177.19742,-121.80824,239.78,True,520.177679656836,6218.7552194953,0.7,1,0,0,0,0,40,-inf,inf,776.847888343246,1,"MULTILINESTRING ((11.581372 48.764894, 11.581372 48.764894))",0102000020e610000002000000a50f3f96a929274044a7b30ae8614840a50f3f96a929274044a7b30ae8614840,,0,0,0.0002595266353066,1.92242004820296e-07,0,0,0.0002595266353066,1.92242004820296e-07,520.177679656836,0.272599883226291,380.0,220.0
status2023,BUS_37501,BUS_37502,t,0.0010157844943484,552.2825,-2761.81416,401.66,True,520.177679656836,6218.7552194953,0.7,1,0,0,0,0,40,-inf,inf,776.847888343246,1,"MULTILINESTRING ((11.581372 48.764894, 11.581372 48.764894))",0102000020e610000002000000a50f3f96a929274044a7b30ae8614840a50f3f96a929274044a7b30ae8614840,,0,0,0.0002595266353066,1.92242004820296e-07,0,0,0.0002595266353066,1.92242004820296e-07,520.177679656836,0.0603470597022357,380.0,220.0
status2023,BUS_37501,BUS_37502,t,0.0013417163598651,149.34304,-2460.14888,308.56,True,520.177679656836,6218.7552194953,0.7,1,0,0,0,0,40,-inf,inf,776.847888343246,1,"MULTILINESTRING ((11.581372 48.764894, 11.581372 48.764894))",0102000020e610000002000000a50f3f96a929274044a7b30ae8614840a50f3f96a929274044a7b30ae8614840,,0,0,0.0002595266353066,1.92242004820296e-07,0,0,0.0002595266353066,1.92242004820296e-07,520.177679656836,0.148755509463313,380.0,220.0
status2023,BUS_36405,BUS_36406,t,0.0017778017940127,696.19572,-2973.17396,370.12,True,3120.58101428349,18656.2656584859,0.7,1,0,0,0,0,40,-inf,inf,776.847888343246,1,"MULTILINESTRING ((10.3625 47.73866, 10.3625 47.73866))",0102000020e610000002000000e01cd39099b924409524b7688cde4740e01cd39099b924409524b7688cde4740,,0,0,4.32611626953563e-05,3.20453144918466e-08,0,0,4.32611626953563e-05,3.20453144918466e-08,3120.58101428349,0.134718469685507,380.0,220.0
status2023,BUS_36405,BUS_36406,t,0.0055494174367215,349.65472,-1008.94104,199.12,True,3120.58101428349,18656.2656584859,0.7,1,0,0,0,0,40,-inf,inf,776.847888343246,1,"MULTILINESTRING ((10.3625 47.73866, 10.3625 47.73866))",0102000020e610000002000000e01cd39099b924409524b7688cde4740e01cd39099b924409524b7688cde4740,,0,0,4.32611626953563e-05,3.20453144918466e-08,0,0,4.32611626953563e-05,3.20453144918466e-08,3120.58101428349,0.328671153073523,380.0,220.0
status2023,BUS_36256,BUS_36257,t,0.0004300935550935,1462.24,-5310.24,769.6,True,1790.41224486661,10741.4862882191,0.7,1,0,0,0,0,40,-inf,inf,776.847888343246,1,"MULTILINESTRING ((6.801902 51.124932, 6.801902 51.124932))",0102000020e610000002000000283c4ec725351b4028fdbdc1fd8f4940283c4ec725351b4028fdbdc1fd8f4940,,0,0,7.54016084005367e-05,5.58530585828574e-08,0,0,7.54016084005367e-05,5.58530585828574e-08,1790.41224486661,0.0322245322245322,400.0,231.0
status2023,BUS_36256,BUS_36257,t,0.0004300935550935,1462.24,-5310.24,769.6,True,1790.41224486661,10741.4862882191,0.7,1,0,0,0,0,40,-inf,inf,776.847888343246,1,"MULTILINESTRING ((6.801902 51.124932, 6.801902 51.124932))",0102000020e610000002000000283c4ec725351b4028fdbdc1fd8f4940283c4ec725351b4028fdbdc1fd8f4940,,0,0,7.54016084005367e-05,5.58530585828574e-08,0,0,7.54016084005367e-05,5.58530585828574e-08,1790.41224486661,0.0322245322245322,400.0,231.0
status2023,BUS_36055,BUS_36056,t,0.0011499708016272,1404.247896,-243744.8022,364.04,True,7280.71685369162,21482.9725764383,0.7,1,0,0,0,0,40,-inf,inf,776.847888343246,1,"MULTILINESTRING ((7.709039 51.676467, 7.709039 51.676467))",0102000020e610000002000000c75a4f400ed61e4090ed217696d64940c75a4f400ed61e4090ed217696d64940,,0,0,1.8542125133531e-05,1.3734911274471e-08,0,0,1.8542125133531e-05,1.3734911274471e-08,7280.71685369162,0.0657858787476533,380.0,231.0
status2023,BUS_36055,BUS_36056,t,0.0011499708016272,1137.44298,-173703.5062,364.04,True,7280.71685369162,21482.9725764383,0.7,1,0,0,0,0,40,-inf,inf,776.847888343246,1,"MULTILINESTRING ((7.709039 51.676467, 7.709039 51.676467))",0102000020e610000002000000c75a4f400ed61e4090ed217696d64940c75a4f400ed61e4090ed217696d64940,,0,0,1.8542125133531e-05,1.3734911274471e-08,0,0,1.8542125133531e-05,1.3734911274471e-08,7280.71685369162,0.0657858787476533,380.0,231.0
status2023,BUS_35574,BUS_35575,t,0.0005088342283041,1385.52,-2493.936,461.84,True,2600.44593530482,12437.5104389906,0.7,1,0,0,0,0,40,-inf,inf,776.847888343246,1,"MULTILINESTRING ((12.187784 53.816505, 12.187784 53.816505))",0102000020e61000000200000068461f2b256028400788283a83e84a4068461f2b256028400788283a83e84a40,,0,0,5.19141586949138e-05,3.84549429166572e-08,0,0,5.19141586949138e-05,3.84549429166572e-08,2600.44593530482,0.0362419885674693,230.0,400.0
