bus_id,scn_name,v_nom,carrier,v_mag_pu_set,v_mag_pu_min,v_mag_pu_max,x,y,geom,country,type,unit,control,generator,sub_network
Bus_40266,status2023,110,AC,1,0,inf,10.5039047,49.276938,POINT (10.503905 49.276938),DE,,None,PQ,,0
Bus_36506,status2023,380,AC,1,0,inf,7.1679567262973,51.3893198915442,POINT (7.167957 51.38932),DE,,None,PQ,,0
Bus_38932,status2023,220,AC,1,0,inf,7.17516895,51.48233625,POINT (7.175169 51.482336),DE,,None,PQ,,0
Bus_36148,status2023,110,AC,1,0,inf,9.63256471803229,48.780482647801,POINT (9.632565 48.780483),DE,,None,PV,Generator_9751,0
Bus_37074,status2023,110,AC,1,0,inf,9.7578757462486,54.6347721309673,POINT (9.757876 54.634772),DE,,None,PV,Generator_552,0
Bus_37075,status2023,110,AC,1,0,inf,9.64354659954006,54.6297381464755,POINT (9.643547 54.629738),DE,,None,PV,Generator_4664,0
Bus_37969,status2023,110,AC,1,0,inf,9.5794723947447,54.5397296784949,POINT (9.579472 54.53973),DE,,None,PV,Generator_365,0
Bus_36811,status2023,110,AC,1,0,inf,9.28907527468471,49.1600412139282,POINT (9.289075 49.160041),DE,,None,PV,Generator_2861,0
Bus_38443,status2023,110,AC,1,0,inf,8.49522834191853,52.3230023585352,POINT (8.495228 52.323002),DE,,None,PV,Generator_3536,0
Bus_38763,status2023,110,AC,1,0,inf,8.40410879560092,52.305746261431,POINT (8.404109 52.305746),DE,,None,PV,Generator_2383,0
Bus_38320,status2023,110,AC,1,0,inf,7.35104968193084,51.1378918119135,POINT (7.35105 51.137892),DE,,None,PV,Generator_3465,0
Bus_37961,status2023,110,AC,1,0,inf,7.40740501398527,51.1133589094579,POINT (7.407405 51.113359),DE,,None,PV,Generator_5315,0
Bus_39018,status2023,110,AC,1,0,inf,11.3680209503965,49.2925601747869,POINT (11.368021 49.29256),DE,,None,PV,Generator_3375,0
Bus_35148,status2023,110,AC,1,0,inf,8.42809301341791,51.8200717996439,POINT (8.428093 51.820072),DE,,None,PV,Generator_2245,0
Bus_39358,status2023,110,AC,1,0,inf,11.360852265083,52.6509706260445,POINT (11.360852 52.650971),DE,,None,PV,Generator_5648,0
Bus_37636,status2023,110,AC,1,0,inf,13.7330545127625,51.2139784753555,POINT (13.733055 51.213978),DE,,None,PV,Generator_3010,0
Bus_38262,status2023,110,AC,1,0,inf,11.5015966542214,49.0895851051616,POINT (11.501597 49.089585),DE,,None,PV,Generator_2629,0
Bus_37459,status2023,110,AC,1,0,inf,12.4693414545334,48.1444151437275,POINT (12.469341 48.144415),DE,,None,PV,Generator_3791,0
Bus_37590,status2023,110,AC,1,0,inf,7.10110401075992,50.4800673680967,POINT (7.101104 50.480067),DE,,None,PV,Generator_4240,0
Bus_36251,status2023,110,AC,1,0,inf,7.2949226,52.7346332,POINT (7.294923 52.734633),DE,,None,PV,Generator_2649,0
Bus_38176,status2023,110,AC,1,0,inf,11.8028351711046,51.2912950655466,POINT (11.802835 51.291295),DE,,None,PV,Generator_3321,0
Bus_39418,status2023,110,AC,1,0,inf,14.2448016328917,52.5602472785675,POINT (14.244802 52.560247),DE,,None,PV,Generator_5796,0
Bus_2143,status2023,110,AC,1,0,inf,6.4589712,50.8384407,POINT (6.458971 50.838441),DE,,None,PQ,,0
Bus_39542,status2023,110,AC,1,0,inf,8.92270890528904,54.3941702936577,POINT (8.922709 54.39417),DE,,None,PQ,,0
Bus_2854,status2023,220,AC,1,0,inf,9.728737,54.290219,POINT (9.728737 54.290219),DE,,None,PQ,,0
Bus_39783,status2023,110,AC,1,0,inf,9.84184816122717,54.2118819610782,POINT (9.841848 54.211882),DE,,None,PQ,,0
Bus_28552,status2023,110,AC,1,0,inf,9.6786644,54.2184948,POINT (9.678664 54.218495),DE,,None,PQ,,0
Bus_234,status2023,380,AC,1,0,inf,9.3508194,53.9214169,POINT (9.350819 53.921417),DE,,None,PQ,,0
Bus_35382,status2023,110,AC,1,0,inf,13.0779665782426,54.2855934289143,POINT (13.077967 54.285593),DE,,None,PQ,,0
Bus_35426,status2023,220,AC,1,0,inf,13.9568265340777,53.2523750272931,POINT (13.956827 53.252375),DE,,None,PQ,,0
Bus_9986,status2023,110,AC,1,0,inf,7.6899919,52.5127213,POINT (7.689992 52.512721),DE,,None,PQ,,0
Bus_7962,status2023,110,AC,1,0,inf,7.5460728,51.9688344,POINT (7.546073 51.968834),DE,,None,PQ,,0
Bus_7610,status2023,110,AC,1,0,inf,7.6097291,51.9016198,POINT (7.609729 51.90162),DE,,None,PQ,,0
Bus_3054,status2023,220,AC,1,0,inf,7.4565823,51.6602454,POINT (7.456582 51.660245),DE,,None,PQ,,0
Bus_5745,status2023,380,AC,1,0,inf,7.7034535,51.6813669,POINT (7.703454 51.681367),DE,,None,PQ,,0
Bus_12833,status2023,110,AC,1,0,inf,9.9739073,54.1161793,POINT (9.973907 54.116179),DE,,None,PQ,,0
Bus_28012,status2023,110,AC,1,0,inf,9.6547001,54.1515146,POINT (9.6547 54.151515),DE,,None,PQ,,0
Bus_40177,status2023,220,AC,1,0,inf,10.0540581,54.3462447,POINT (10.054058 54.346245),DE,,None,PQ,,0
Bus_3099,status2023,110,AC,1,0,inf,10.1599341,54.27336,POINT (10.159934 54.27336),DE,,None,PQ,,0
Bus_15097,status2023,110,AC,1,0,inf,9.620284,54.418056,POINT (9.620284 54.418056),DE,,None,PQ,,0
Bus_12832,status2023,110,AC,1,0,inf,9.9762011,54.1157108,POINT (9.976201 54.115711),DE,,None,PQ,,0
Bus_32942,status2023,110,AC,1,0,inf,9.5814901,54.0945876,POINT (9.58149 54.094588),DE,,None,PQ,,0
Bus_19587,status2023,380,AC,1,0,inf,9.7684758,53.6968789,POINT (9.768476 53.696879),DE,,None,PQ,,0
Bus_13497,status2023,380,AC,1,0,inf,9.1954142,54.8526639,POINT (9.195414 54.852664),DE,,None,PQ,,0
Bus_279,status2023,110,AC,1,0,inf,10.2909152,54.3917344,POINT (10.290915 54.391734),DE,,None,PQ,,0
Bus_17205,status2023,110,AC,1,0,inf,10.1066675,54.1166208,POINT (10.106668 54.116621),DE,,None,PQ,,0
Bus_14277,status2023,110,AC,1,0,inf,9.4708889,54.5283542,POINT (9.470889 54.528354),DE,,None,PQ,,0
Bus_12634,status2023,110,AC,1,0,inf,9.9743679,54.1153595,POINT (9.974368 54.11536),DE,,None,PQ,,0
Bus_13690,status2023,110,AC,1,0,inf,10.0186157,54.0613467,POINT (10.018616 54.061347),DE,,None,PQ,,0
Bus_23624,status2023,110,AC,1,0,inf,9.4854287,53.967752,POINT (9.485429 53.967752),DE,,None,PQ,,0
Bus_229,status2023,380,AC,1,0,inf,9.6379897,53.6426478,POINT (9.63799 53.642648),DE,,None,PQ,,0
Bus_39685,status2023,220,AC,1,0,inf,9.2895241522228,53.9132307336669,POINT (9.289524 53.913231),DE,,None,PQ,,0
Bus_13995,status2023,110,AC,1,0,inf,9.2404151,53.8974849,POINT (9.240415 53.897485),DE,,None,PQ,,0
Bus_498,status2023,110,AC,1,0,inf,9.9263491,53.6049435,POINT (9.926349 53.604944),DE,,None,PQ,,0
Bus_37404,status2023,110,AC,1,0,inf,10.4476786167671,52.0717882097237,POINT (10.447679 52.071788),DE,,None,PV,Generator_6260,0
Bus_39115,status2023,110,AC,1,0,inf,7.68627647981056,52.5048362465222,POINT (7.686276 52.504836),DE,,None,PV,Generator_2230,0
Bus_35065,status2023,110,AC,1,0,inf,7.54585377454761,51.9703343157337,POINT (7.545854 51.970334),DE,,None,PV,Generator_468,0
Bus_37414,status2023,110,AC,1,0,inf,7.56590392554645,51.9540702590823,POINT (7.565904 51.95407),DE,,None,PV,Generator_884,0
Bus_37733,status2023,110,AC,1,0,inf,7.63830608024415,51.9255035315915,POINT (7.638306 51.925504),DE,,None,PV,Generator_988,0
Bus_13688,status2023,110,AC,1,0,inf,10.0148217,54.0585954,POINT (10.014822 54.058595),DE,,None,PQ,,0
Bus_39788,status2023,380,AC,1,0,inf,9.50089966207551,53.847084501274,POINT (9.5009 53.847085),DE,,None,PQ,,0
Bus_13994,status2023,110,AC,1,0,inf,9.2149747,53.908935,POINT (9.214975 53.908935),DE,,None,PQ,,0
Bus_185,status2023,110,AC,1,0,inf,9.8990703,53.6368914,POINT (9.89907 53.636891),DE,,None,PQ,,0
Bus_499,status2023,110,AC,1,0,inf,9.9129758,53.5983257,POINT (9.912976 53.598326),DE,,None,PQ,,0
Bus_17230,status2023,110,AC,1,0,inf,9.409571,54.7727232,POINT (9.409571 54.772723),DE,,None,PQ,,0
Bus_17114,status2023,110,AC,1,0,inf,10.5620868,54.287098,POINT (10.562087 54.287098),DE,,None,PQ,,0
Bus_3101,status2023,110,AC,1,0,inf,9.9164193,54.3517512,POINT (9.916419 54.351751),DE,,None,PQ,,0
Bus_22,status2023,220,AC,1,0,inf,9.9840834,53.759848,POINT (9.984083 53.759848),DE,,None,PQ,,0
Bus_39518,status2023,110,AC,1,0,inf,9.23393802667647,54.6760441495605,POINT (9.233938 54.676044),DE,,None,PQ,,0
Bus_39497,status2023,110,AC,1,0,inf,8.87437578227853,54.7905646292,POINT (8.874376 54.790565),DE,,None,PQ,,0
Bus_39630,status2023,110,AC,1,0,inf,9.8277837305836,54.4084467642468,POINT (9.827784 54.408447),DE,,None,PQ,,0
Bus_39560,status2023,110,AC,1,0,inf,10.4698404996961,53.9229261661869,POINT (10.46984 53.922926),DE,,None,PQ,,0
Bus_13661,status2023,110,AC,1,0,inf,9.7187898,53.9620733,POINT (9.71879 53.962073),DE,,None,PQ,,0
Bus_25410,status2023,110,AC,1,0,inf,9.4848296,53.9328426,POINT (9.48483 53.932843),DE,,None,PQ,,0
Bus_16174,status2023,220,AC,1,0,inf,9.984533,53.7674516,POINT (9.984533 53.767452),DE,,None,PQ,,0
Bus_1308,status2023,220,AC,1,0,inf,9.438079,53.9144683,POINT (9.438079 53.914468),DE,,None,PQ,,0
Bus_3094,status2023,110,AC,1,0,inf,9.8018392,54.4288237,POINT (9.801839 54.428824),DE,,None,PQ,,0
Bus_28071,status2023,110,AC,1,0,inf,10.5988096,53.82196,POINT (10.59881 53.82196),DE,,None,PQ,,0
Bus_1304,status2023,220,AC,1,0,inf,9.4488157,53.9659549,POINT (9.448816 53.965955),DE,,None,PQ,,0
Bus_14726,status2023,110,AC,1,0,inf,10.0917296,53.6477889,POINT (10.09173 53.647789),DE,,None,PQ,,0
Bus_12809,status2023,110,AC,1,0,inf,10.0993241,53.593979,POINT (10.099324 53.593979),DE,,None,PQ,,0
Bus_15949,status2023,110,AC,1,0,inf,9.3990137,54.8172989,POINT (9.399014 54.817299),DE,,None,PQ,,0
Bus_16819,status2023,110,AC,1,0,inf,9.4054799,54.8055983,POINT (9.40548 54.805598),DE,,None,PQ,,0
Bus_1305,status2023,220,AC,1,0,inf,9.4378491,53.9152852,POINT (9.437849 53.915285),DE,,None,PQ,,0
Bus_30961,status2023,110,AC,1,0,inf,9.4790343,53.9149862,POINT (9.479034 53.914986),DE,,None,PQ,,0
Bus_14719,status2023,110,AC,1,0,inf,9.1582954,54.2502362,POINT (9.158295 54.250236),DE,,None,PQ,,0
Bus_20,status2023,220,AC,1,0,inf,9.9907911,53.7636934,POINT (9.990791 53.763693),DE,,None,PQ,,0
Bus_26147,status2023,110,AC,1,0,inf,9.1149809,53.9558601,POINT (9.114981 53.95586),DE,,None,PQ,,0
Bus_181,status2023,110,AC,1,0,inf,9.8695203,53.5854612,POINT (9.86952 53.585461),DE,,None,PQ,,0
Bus_37406,status2023,110,AC,1,0,inf,6.83862246823826,52.0299922266963,POINT (6.838622 52.029992),DE,,None,PV,Generator_2540,0
Bus_35339,status2023,220,AC,1,0,inf,7.06022172212262,51.6963974773687,POINT (7.060222 51.696397),DE,,None,PQ,,0
