scn_name,bus0,bus1,model,r,g,b,s_nom,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,tap_ratio,tap_side,tap_position,phase_shift,build_year,lifetime,v_ang_min,v_ang_max,capital_cost,num_parallel,geom,topo,type,s_nom_mod,sub_network,x_pu,r_pu,g_pu,b_pu,x_pu_eff,r_pu_eff,s_nom_opt,x
status2023,Bus_35410,Bus_35411,t,0.0004460419192794,2632.488,-7943.648,461.84,True,461.84,10741.4862882191,0.7,1,0,0,0,0,40,-inf,inf,776.847888343246,1,"MULTILINESTRING ((7.725696 52.277186, 7.725696 52.277186))",0102000020e61000000200000069a66ccb1ce71e40118bd9d87a234a4069a66ccb1ce71e40118bd9d87a234a40,,0,0,8.65143244480219E-05,6.4084702357852E-08,0,0,8.65143244480219E-05,6.4084702357852E-08,1560.43480457466,0.0351225532652001
status2023,Bus_34876,Bus_34877,t,0.0001,0,0,1560.41655108538,True,1560.41655108538,12437.5104389906,0.7,1,0,0,0,0,40,-inf,inf,776.847888343246,1,"MULTILINESTRING ((8.65961 52.000349, 8.65961 52.000349))",0102000020e61000000200000049414f67b8512140c6960c6c0b004a4049414f67b8512140c6960c6c0b004a40,,0,0,8.65153364779784E-05,6.40854520098772E-08,0,0,8.65153364779784E-05,6.40854520098772E-08,1560.41655108538,0.134999962962958
status2023,Bus_36381,Bus_36382,t,0.0001,0,0,520.183702162299,True,520.183702162299,6218.7552194953,0.7,1,0,0,0,0,40,-inf,inf,776.847888343246,1,"MULTILINESTRING ((8.519964 50.049351, 8.519964 50.049351))",0102000020e6100000020000008499d0c3380a214049c7bb1f510649408499d0c3380a214049c7bb1f51064940,,0,0,0.0002595236305977,1.92239779109419E-07,0,0,0.0002595236305977,1.92239779109419E-07,520.183702162299,0.134999962962958
status2023,Bus_34818,Bus_34819,t,0.0001,0,0,1040,True,1040,12437.5104389906,0.7,1,0,0,0,0,40,-inf,inf,776.847888343246,1,"MULTILINESTRING ((8.435131 50.059036, 8.435131 50.059036))",0102000020e61000000200000074f63f74c9de20404fc0717c8e07494074f63f74c9de20404fc0717c8e074940,,0,0,0.0001298076566951,9.61538461538462E-08,0,0,0.0001298076566951,9.61538461538462E-08,1040,0.134999962962958
status2023,Bus_35579,Bus_35580,t,0.0005197505197505,2447.328,-2955.264,461.76,True,461.76,12437.5104389906,0.7,1,0,0,0,0,40,-inf,inf,776.847888343246,1,"MULTILINESTRING ((8.474707 53.428651, 8.474707 53.428651))",0102000020e610000002000000098791ce0cf3204096e6f10adeb64a40098791ce0cf3204096e6f10adeb64a40,,0,0,0.0001297632340908,9.61209405120152E-08,0,0,0.0001297632340908,9.61209405120152E-08,1040.35602926191,0.0374177061677062
status2023,Bus_37775,Bus_37776,t,0.0001,0,0,5720.58926663436,True,5720.58926663436,18656.2656584859,0.7,1,0,0,0,0,40,-inf,inf,776.847888343246,1,"MULTILINESTRING ((6.475063 49.922609, 6.475063 49.922609))",0102000020e610000002000000013319e976e619403e49700b18f64840013319e976e619403e49700b18f64840,,0,0,2.35989609934683E-05,1.74807166428213E-08,0,0,2.35989609934683E-05,1.74807166428213E-08,5720.58926663436,0.134999962962958
status2023,Bus_36651,Bus_36652,t,0.0019706430946395,122.81676,-141.31326,246.62,True,246.62,6218.7552194953,0.7,1,0,0,0,0,40,-inf,inf,776.847888343246,1,"MULTILINESTRING ((10.08213 48.266038, 10.08213 48.266038))",0102000020e610000002000000d15c8dfd0c2a244094baff860d224840d15c8dfd0c2a244094baff860d224840,,0,0,0.0002595210089495,1.92237837147209E-07,0,0,0.0002595210089495,1.92237837147209E-07,520.188956991977,0.189862947044035
status2023,Bus_36023,Bus_36024,t,0.0001,0,0,520.185232616355,True,520.185232616355,6218.7552194953,0.7,1,0,0,0,0,40,-inf,inf,776.847888343246,1,"MULTILINESTRING ((10.117398 48.897138, 10.117398 48.897138))",0102000020e610000002000000a27199a61b3c2440fcf13969d5724840a27199a61b3c2440fcf13969d5724840,,0,0,0.0002595228670447,1.92239213514451E-07,0,0,0.0002595228670447,1.92239213514451E-07,520.185232616355,0.134999962962958
status2023,Bus_37796,Bus_37797,t,0.0004263049533728,1775.255,-1486.26,658.24,True,658.24,55968.7969754577,0.7,1,0,0,0,0,40,-inf,inf,776.847888343246,1,"MULTILINESTRING ((8.31334 49.009043, 8.31334 49.009043))",0102000020e610000002000000ed4749216ea020402da9255628814840ed4749216ea020402da9255628814840,,0,0,2.59589282574782E-05,1.9228841021683E-08,0,0,2.59589282574782E-05,1.9228841021683E-08,5200.52144002007,0.0388664163739857
status2023,Bus_35996,Bus_35997,t,0.0001,0,0,1040.3498597685,True,1040.3498597685,12437.5104389906,0.7,1,0,0,0,0,40,-inf,inf,776.847888343246,1,"MULTILINESTRING ((9.885509 48.30407, 9.885509 48.30407))",0102000020e6100000020000003520376b61c52340538849c1eb2648403520376b61c52340538849c1eb264840,,0,0,0.0001297640036141,9.61215105294027E-08,0,0,0.0001297640036141,9.61215105294027E-08,1040.3498597685,0.134999962962958
