name,Full Name,EIC_Code,TSO,Maximum Current Imax (A) primary Min,Maximum Current Imax (A) primary Max,Maximum Current Imax (A) primary Fixed,Voltage_level(kV) Primary,Voltage_level(kV) Secondary,r_dlr,x_dlr,b_dlr,g_dlr,Taps used for RAO,Theta θ (°),Symmetrical/Asymmetrical,Phase Regulation δu (%),Angle Regulation δu (%),Comment,geometry,bus0,s_nom_dlr,bus1,
77,TR Tauern TARHU41,14T-38220-TA041Q,APG,,,1554,220,400,0.000563063063063063,0.0451386451386451,-4321.397388,1725.536736,,60,ASYM,,1.253,,POINT (12.739733378696268 47.27759548453195),38868243,341.88,38868243T,
78,TR Tauern TARHU42,14T-38220-TA042O,APG,,,1554,220,400,0.000563063063063063,0.0451386451386451,-4321.397388,1725.536736,,60,ASYM,,1.253,,POINT (12.739733378696268 47.27759548453195),38868243,341.88,38868243T,
74,TR St. Peter SPRHU41,14T-38220-SP041V,APG,,,1427,220,400,0.000618589539402434,0.0480951774224374,-2109.4978542,877.713452,,-60,ASYM,,1.253,,POINT (13.081870668673746 48.256519536727325),81540198,313.94,81540198T,
75,TR St. Peter SPRHU42,14T-38220-SP042T,APG,,,1427,220,400,0.000618589539402434,0.0480951774224374,-2109.4978542,877.713452,,-60,ASYM,,1.253,,POINT (13.081870668673746 48.256519536727325),81540198,313.94,81540198T,
76,TR St. Peter SPRHU43,14T-38220-SP043R,APG,,,1427,220,400,0.000618589539402434,0.0480951774224374,-2109.4978542,877.713452,,-60,ASYM,,1.253,,POINT (13.081870668673746 48.256519536727325),81540198,313.94,81540198T,
68,TR Lienz LIRHU41,14T-38220-LI041Y,APG,,,1554,220,400,0.000642330642330642,0.0451415701415701,-5479.242384,1951.724544,,60,ASYM,,1.253,,POINT (12.805760955273785 46.82504401999443),162826525,341.88,162826525T,
69,TR Lienz LIRHU42,14T-38220-LI042W,APG,,,1554,220,400,0.000642330642330642,0.0451415701415701,-5479.242384,1951.724544,,60,ASYM,,1.253,,POINT (12.805760955273785 46.82504401999443),162826525,341.88,162826525T,
81,TR Westtirol WTRHU41,14T-38220-WT041O,APG,,,1443,400,220,0.000517498267498268,0.0374237699237699,-3845.0178,981.24,,59.99,ASYM,,1.388,,POINT (10.873845198722057 47.24424668126896),727225348,577.2,727225348T,
71,TR Obersielach OSRHU41,14T-38220-OS0413,APG,,,1556,220,400,0.000641505024538444,0.0450835475578406,-5486.294176,1954.236416,,60,ASYM,,1.253,,POINT (14.681460598338008 46.66845419378629),83831570,342.32,83831570T,
72,TR Obersielach OSRHU43,14T-RHU43-OS---K,APG,,,1531,220,400,0.000526393919600974,0.0463422599608099,-3386.89351,890.114214,,60,ASYM,,1.253,,POINT (14.681460598338008 46.66845419378629),83831570,336.82,83831570T,
73,TR Obersielach OSRHU42,14T-38220-OS0421,APG,,,1556,220,400,0.000641505024538444,0.0450835475578406,-5486.294176,1954.236416,,60,ASYM,,1.253,,POINT (14.681460598338008 46.66845419378629),83831570,342.32,83831570T,
82,TR Wien Suedost SORHU41,14T-38221-SO041S,APG,,,1556,220,400,0.000641505024538444,0.0461147464360832,-5486.294176,1954.236416,,60,ASYM,,1.253,,POINT (16.420069271973972 48.12390360961506),27795895,342.32,27795895T,
83,TR Wien Suedost SORHU43,14T-38220-SO042Y,APG,,,1556,220,400,0.000641505024538444,0.0461147464360832,-5486.294176,1954.236416,,60,ASYM,,1.253,,POINT (16.420069271973972 48.12390360961506),27795895,342.32,27795895T,
T_0,,,APG,,,,,,0.000325779445727483,0.0284872979214781,-15554.32992,723.07536,,,,,,Added for coherence. Not in the data.,POINT (13.066843061018709 47.8880497091321),105065132,387.2,105065132T,
84,TR Zell am Ziller ZZRHU41,14T-38220-ZZ041D,APG,,,1732,400,220,0.000325779445727483,0.0284872979214781,-15554.32992,723.07536,,59.95,ASYM,,1.25,,POINT (11.897843807702728 47.23344726452986),156973414,692.8,156973414T,
85,TR Zell am Ziller ZZRHU42,14T-38220-ZZ042B,APG,,,1732,400,220,0.000325779445727483,0.0284872979214781,-15554.32992,723.07536,,59.95,ASYM,,1.25,,POINT (11.897843807702728 47.23344726452986),156973414,692.8,156973414T,
T_1,,,APG,,,,,,0.000618589539402434,0.0480951774224374,-2109.4978542,877.713452,,,,,,Added for coherence. Not in the data.,POINT (16.378280117631984 48.35775529503493),24253250,1006.72,24253250T,
T_2,,,APG,,,,,,0.000618589539402434,0.0480951774224374,-2109.4978542,877.713452,,,,,,Added for coherence. Not in the data.,POINT (16.378280117631984 48.35775529503493),24253250,1006.72,24253250TT,
