name,x,y,CORE-TSO_country,CORE-TSO_tso,OSM_type,OSM_name,OSM_country,OSM_voltage,OSM_operator,OSM_alt_name,Comments,CORE-TSO-name,geometry,transformer_dupplicate,v_nom,,,,
38868243,12.7397333786963,47.277595484532,AT,APG,Polygon,Umspannwerk Tauern,AT,380000,220000,Austrian Power Grid AG,,,"Tauern, TR Tauern TARHU41, TR Tauern TARHU42, PST Tauern TAPST",POINT (12.739733378696268 47.27759548453195),False,400,,,
81540198,13.0818706686737,48.2565195367273,AT,APG,Polygon,Umspannwerk St. Peter,AT,380000,Austrian Power Grid AG,,,"St. Peter, St.Peter, TR St. Peter SPRHU41, TR St. Peter SPRHU42, TR St. Peter SPRHU43",POINT (13.081870668673746 48.256519536727325),False,400,,,,
765101679,16.4315381736895,48.1389931136073,AT,APG,Polygon,Umspannwerk Kledering,AT,220000,Austrian Power Grid AG,,,Kledering,POINT (16.431538173689475 48.13899311360726),False,220,,,,
210191809,13.4428542360307,48.4345464126625,AT,APG,Polygon,Umspannwerk Schärding,AT,220000,,,,Schaerding,POINT (13.4428542360307 48.43454641266245),False,220,,,,
162826525,12.8057609552738,46.8250440199944,AT,APG,Polygon,Lienz,AT,380000,220000,110000,Austrian Power Grid AG,,,"Lienz, TR Lienz LIRHU41, TR Lienz LIRHU42, PST Lienz LIPST",POINT (12.805760955273785 46.82504401999443),False,400,,
30042006,15.73735955,48.2687459499998,AT,APG,Polygon,Schaltwerk Etzersdorf,AT,380000,Austrian Power Grid AG,,,Etzersdorf,POINT (15.737359550000036 48.26874594999984),False,400,,,,
83742801,15.7256298003086,47.0910355676033,AT,APG,Polygon,Umspannwerk Oststeiermark/Wünschendorf,AT,380000,110000,Verbund Austrian Power Grid AG,STEWEAG-STEG,,,Oststeiermark,POINT (15.725629800308608 47.09103556760329),False,400,,
92873353,14.0196050717091,48.3852084290961,AT,APG,Polygon,Umspannwerk Aschach,AT,220000,,,,Aschach,POINT (14.01960507170905 48.38520842909608),False,220,,,,
83202471,16.0649027731798,47.70706778567,AT,APG,Polygon,Umspannwerk Ternitz,AT,220000,110000,20000,Austrian Power Grid AG,,,"Ternitz, PST Ternitz TEPST",POINT (16.064902773179767 47.70706778567004),False,220,,
727225348,10.8738451987221,47.244246681269,AT,APG,Polygon,APG Umspannwerk Westtirol,AT,380000,220000,110000,Austrian Power Grid AG,,,"Westtirol, TR Westtirol WTRHU41",POINT (10.873845198722057 47.24424668126896),False,400,,
82201785,16.8380326889912,47.9604756242031,AT,APG,Polygon,Umspannwerk Neusiedl,AT,220000,110000,Austrian Power Grid,Netz Burgenland,,,Neusiedl,POINT (16.838032688991206 47.960475624203056),False,220,,
86119428,14.0279728074789,46.5683181913143,AT,APG,Polygon,Kraftwerk Rosegg,AT,220000,Verbund Hydro Power GmbH,,,Rosegg,POINT (14.027972807478916 46.56831819131434),False,220,,,,
50650855,14.0521115029806,48.0832552459476,AT,APG,Polygon,Umspannwerk Sattledt,AT,220000,Austrian Grid Power AG,,,Sattledt,POINT (14.052111502980631 48.08325524594757),False,220,,,,
30076588,15.0478115713248,48.1467002144087,AT,APG,Polygon,Umspannwerk Ybbsfeld,AT,220000,110000,APG,Netz NÖ,,,Ybbsfeld,POINT (15.047811571324814 48.146700214408725),False,220,,
83740194,15.4231677336465,46.903637991022,AT,APG,Polygon,Umspannwerk Kainachtal/Zwaring,AT,380000,110000,Verbund Austrian Power Grid AG,STEWEAG-STEG,,,Kainachtal,POINT (15.423167733646473 46.903637991022),False,400,,
83831570,14.681460598338,46.6684541937863,AT,APG,Polygon,Umspannwerk Obersielach,AT,380000,220000,110000,Austrian Power Grid AG,,,"Obersielach, TR Obersielach OSRHU41, TR Obersielach OSRHU43, TR Obersielach OSRHU42",POINT (14.681460598338008 46.66845419378629),False,400,,
27763479,14.4737352952338,48.1249269031903,AT,APG,Polygon,Umspannwerk Ernsthofen,AT,380000,220000,110000,Austrian Power Grid AG,,,"Ernsthofen, TR Ernsthofen EHRHU41, TR Ernsthofen EHRHU42, PST Ernsthofen EHPST",POINT (14.47373529523377 48.1249269031903),False,220,,
86119456,14.1729612411059,46.5358440004125,AT,APG,Polygon,Umspannwerk Feistritz,AT,220000,,,,Feistritz,POINT (14.172961241105918 46.53584400041253),False,220,,,,
171066516,16.9945330218381,47.9376981744663,AT,APG,Polygon,Umspannwerk Zurndorf,AT,380000,110000,Austrian Power Grid AG,Energie Burgenland AG,,,Zurndorf,POINT (16.994533021838087 47.93769817446625),False,400,,
88680218,15.0209481474914,47.397154752546,AT,APG,Polygon,Umspannwerk Hessenberg,AT,220000,110000,Verbund Austrian Power Grid AG,,,Hessenberg,POINT (15.020948147491378 47.397154752546),False,220,,,
318616912,12.583373796107,47.2785104855677,AT,APG,Polygon,Umspannwerk Schwarzenbach,AT,380000,110000,Austrian Power Grid AG,Österreichische Bundesbahnen,,,Schwarzenbach,POINT (12.583373796106992 47.27851048556766),False,400,,
88684218,14.7261727074354,47.1809660169443,AT,APG,Polygon,Umspannwerk Zeltweg,AT,220000,Austrian Power Grid AG,,,Zeltweg,POINT (14.726172707435378 47.18096601694428),False,220,,,,
27795895,16.420069271974,48.1239036096151,AT,APG,Polygon,Umspannwerk Wien Südost,AT,380000,220000,110000,Austrian Power Grid AG,,,"Wien Suedost, Wien, TR Wien Suedost SORHU41, TR Wien Suedost SORHU43",POINT (16.420069271973972 48.12390360961506),False,400,,
235546807,14.4694271744162,48.1164353102923,AT,APG,Polygon,Schaltwerk Kronstorf,AT,380000,Austrian Power Grid AG,,,Kronstorf,POINT (14.469427174416154 48.116435310292346),False,400,,,,
28596524,11.8507831848056,47.1624922783673,AT,APG,Polygon,Schaltanlage Mayrhofen,AT,220000,,,,Mayrhofen,POINT (11.850783184805572 47.16249227836731),False,220,,,,
180468540,13.6798122860682,46.5431915952869,AT,APG,Polygon,Umspannwerk Greuth,AT,220000,Eneco S.r.l.,,,Greuth,POINT (13.679812286068168 46.54319159528688),False,220,,,,
