scn_name,bus0,bus1,model,r,g,b,s_nom,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,tap_ratio,tap_side,tap_position,phase_shift,build_year,lifetime,v_ang_min,v_ang_max,capital_cost,num_parallel,geom,topo,type,s_nom_mod,sub_network,x_pu,r_pu,g_pu,b_pu,x_pu_eff,r_pu_eff,s_nom_opt,x,Full Name,EIC_Code,TSO,Maximum Current Imax (A) primary Min,Maximum Current Imax (A) primary Max,Maximum Current Imax (A) primary Fixed,Voltage_level(kV) Primary,Voltage_level(kV) Secondary,Taps used for RAO,Theta θ (°),Symmetrical/Asymmetrical,Phase Regulation δu (%),Angle Regulation δu (%),Comment
status2023,BUS_35410,BUS_35411,t,0.0004460419192794,2632.488,-7943.648,461.84,True,1560.43480457466,10741.4862882191,0.7,1,0,0,0,0,40,-inf,inf,776.847888343246,1,"MULTILINESTRING ((7.725696 52.277186, 7.725696 52.277186))",0102000020e61000000200000069a66ccb1ce71e40118bd9d87a234a4069a66ccb1ce71e40118bd9d87a234a40,,0,0,8.65143244480219E-05,6.4084702357852E-08,0,0,8.65143244480219E-05,6.4084702357852E-08,1560.43480457466,0.0351225532652001,TR Kusenhorst,11T0-0000-0683-V,Amprion GmbH,,2008,,230,400,,,,1.231,,
status2023,BUS_35579,BUS_35580,t,0.0005197505197505,2447.328,-2955.264,461.76,True,1040.35602926191,12437.5104389906,0.7,1,0,0,0,0,40,-inf,inf,776.847888343246,1,"MULTILINESTRING ((8.474707 53.428651, 8.474707 53.428651))",0102000020e610000002000000098791ce0cf3204096e6f10adeb64a40098791ce0cf3204096e6f10adeb64a40,,0,0,0.0001297632340908,9.61209405120152E-08,0,0,0.0001297632340908,9.61209405120152E-08,1040.35602926191,0.0374177061677062,TR Eiberg,11T0-0000-0595-Q,Amprion GmbH,,1924,,240,400,,,,1.231,,
status2023,BUS_36651,BUS_36652,t,0.0019706430946395,122.81676,-141.31326,246.62,True,520.188956991977,6218.7552194953,0.7,1,0,0,0,0,40,-inf,inf,776.847888343246,1,"MULTILINESTRING ((10.08213 48.266038, 10.08213 48.266038))",0102000020e610000002000000d15c8dfd0c2a244094baff860d224840d15c8dfd0c2a244094baff860d224840,,0,0,0.0002595210089495,1.92237837147209E-07,0,0,0.0002595210089495,1.92237837147209E-07,520.188956991977,0.189862947044035,TR Sottrum T421,11TD2T000000180M,TENNETGMBH,,,649,380,220,,,,1.111,,
status2023,BUS_37796,BUS_37797,t,0.0004263049533728,1775.255,-1486.26,658.24,True,5200.52144002007,55968.7969754577,0.7,1,0,0,0,0,40,-inf,inf,776.847888343246,1,"MULTILINESTRING ((8.31334 49.009043, 8.31334 49.009043))",0102000020e610000002000000ed4749216ea020402da9255628814840ed4749216ea020402da9255628814840,,0,0,2.59589282574782E-05,1.9228841021683E-08,0,0,2.59589282574782E-05,1.9228841021683E-08,5200.52144002007,0.0388664163739857,,,Amprion GmbH,,,,,,,,,,,Added for coherence. Not in the data.
status2023,BUS_37501,BUS_37502,t,0.0042038535324047,177.19742,-121.80824,239.78,True,520.177679656836,6218.7552194953,0.7,1,0,0,0,0,40,-inf,inf,776.847888343246,1,"MULTILINESTRING ((11.581372 48.764894, 11.581372 48.764894))",0102000020e610000002000000a50f3f96a929274044a7b30ae8614840a50f3f96a929274044a7b30ae8614840,,0,0,0.0002595266353066,1.92242004820296E-07,0,0,0.0002595266353066,1.92242004820296E-07,520.177679656836,0.272599883226291,TR Conneforde/O T422,11TD2T000000033Z,TENNETGMBH,,,631,380,220,,,,1.231,,
status2023,BUS_37501,BUS_37502,t,0.0010157844943484,552.2825,-2761.81416,401.66,True,520.177679656836,6218.7552194953,0.7,1,0,0,0,0,40,-inf,inf,776.847888343246,1,"MULTILINESTRING ((11.581372 48.764894, 11.581372 48.764894))",0102000020e610000002000000a50f3f96a929274044a7b30ae8614840a50f3f96a929274044a7b30ae8614840,,0,0,0.0002595266353066,1.92242004820296E-07,0,0,0.0002595266353066,1.92242004820296E-07,520.177679656836,0.0603470597022357,TR Conneforde/O T421,11TD2T0000002021,TENNETGMBH,,,1057,380,220,,,,1.385,,
status2023,BUS_37501,BUS_37502,t,0.0013417163598651,149.34304,-2460.14888,308.56,True,520.177679656836,6218.7552194953,0.7,1,0,0,0,0,40,-inf,inf,776.847888343246,1,"MULTILINESTRING ((11.581372 48.764894, 11.581372 48.764894))",0102000020e610000002000000a50f3f96a929274044a7b30ae8614840a50f3f96a929274044a7b30ae8614840,,0,0,0.0002595266353066,1.92242004820296E-07,0,0,0.0002595266353066,1.92242004820296E-07,520.177679656836,0.148755509463313,TR Conneforde/O T423,11T0-0000-1608-5,TENNETGMBH,,,812,380,220,,,,1.111,,
status2023,BUS_38895,BUS_38896,t,0.0021879178315303,445.24524,-427.14584,329.08,True,2080.29036715409,6218.7552194953,0.7,1,0,0,0,0,40,-inf,inf,776.847888343246,1,"MULTILINESTRING ((8.063697 53.555802, 8.063697 53.555802))",0102000020e6100000020000004f4f43d79c20204022bd328524c74a404f4f43d79c20204022bd328524c74a40,,0,0,6.48947690642063E-05,4.80702124948083E-08,0,0,6.48947690642063E-05,4.80702124948083E-08,2080.29036715409,0.156542482071229,TR Irsching VK6,11TD2T000000096B,TENNETGMBH,,,866,380,220,,,,1.231,,
status2023,BUS_37306,BUS_37307,t,0.0004263049533728,1775.255,-1486.26,658.24,True,3640.65087734397,32224.4588646574,0.7,1,0,0,0,0,40,-inf,inf,776.847888343246,1,"MULTILINESTRING ((7.125729 51.449066, 7.125729 51.449066))",0102000020e6100000020000009fd3210dbf801c4061218ffe7ab949409fd3210dbf801c4061218ffe7ab94940,,0,0,3.70812713196622E-05,2.74676159206331E-08,0,0,3.70812713196622E-05,2.74676159206331E-08,3640.65087734397,0.0388664163739857,,,Amprion GmbH,,,,,,,,,,,Added for coherence. Not in the data.
status2023,BUS_36829,BUS_36830,t,0.0016808358751379,167.9581,-136.83192,308.18,True,1040.39803608294,10741.4862882191,0.7,1,0,0,0,0,40,-inf,inf,776.847888343246,1,"MULTILINESTRING ((7.240375 49.35765, 7.240375 49.35765))",0102000020e610000002000000125ee7cd24f61c4010b8ac77c7ad4840125ee7cd24f61c4010b8ac77c7ad4840,,0,0,0.0001297579948067,9.61170595597206E-08,0,0,0.0001297579948067,9.61170595597206E-08,1040.39803608294,0.152514764098903,TR Etzenricht T421,11TD2T000000260O,TENNETGMBH,,,811,380,220,,,,1.111,,
