bus0,bus1,type,carrier,x,r,g,b,s_nom,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,build_year,lifetime,capital_cost,length,terrain_factor,num_parallel,v_ang_min,v_ang_max,geom,s_nom_mod,sub_network,v_nom,x_pu,r_pu,b_pu,g_pu,x_pu_eff,r_pu_eff,s_nom_opt
Bus_10076,Bus_10073,,AC,0.761656832533397,0.137396918809946,0,1.33215273454861E-05,340.56,True,340.56,6218.7552194953,0.7,0,40,116.889344063642,2.87218294726652,1,4,-inf,inf,"MULTILINESTRING ((6.770827 51.143902, 6.770827 51.143902, 6.773427 51.142324, 6.777302 51.14002, 6.780795 51.137868, 6.783987 51.135936, 6.787218 51.133996, 6.790204 51.132237, 6.793584 51.130235, 6.796998 51.128212, 6.800601 51.126066, 6.800601 51.126066))",0,0,220,0.000004669575,0.000001620145,1.92521888064,0,0.000004669575,0.000001620145,2080
Bus_1014,Bus_1013,,AC,0.110495721173826,0.012924379900273,0,1.91547606451498E-06,1238.4,True,1238.4,6218.7552194953,0.7,0,40,15.472296965144,0.380182366958399,1,2,-inf,inf,"MULTILINESTRING ((8.550159 49.43243, 8.550159 49.43243, 8.547743 49.435467, 8.547743 49.435467))",0,0,400,1.23406929419296E-06,4.28170158330382E-07,0.127361738822577,0,1.23406929419296E-06,4.28170158330382E-07,1040.93823344789
Bus_1020,Bus_1014,,AC,0.0326722561532,0.00382158373407691,0,5.66383240638837E-07,1238.4,True,1238.4,6218.7552194953,0.7,0,40,4.56590701313677,0.112192607178939,1,1,-inf,inf,"MULTILINESTRING ((8.547743 49.435467, 8.547743 49.435467, 8.546196 49.435542, 8.546196 49.435542))",0,0,400,7.26690215952088E-07,2.52130901106449E-07,0.0189195151059938,0,7.26690215952088E-07,2.52130901106449E-07,523.744231927091
Bus_1020,Bus_1018,,AC,5.092101077734,0.591683141163768,0,9.47344483802808E-05,498.74,True,498.74,6218.7552194953,0.7,0,40,676.255055914878,16.6168118673328,1,2,-inf,inf,"MULTILINESTRING ((8.546196 49.435542, 8.546196 49.435542, 8.544801 49.432741, 8.543241 49.429912, 8.541638 49.427025, 8.540007 49.424092, 8.542032 49.422015, 8.544024 49.419964, 8.546166 49.417787, 8.545925 49.414718, 8.545688 49.411435, 8.544438 49.408924, 8.543378 49.406794, 8.543324 49.403524, 8.543228 49.400289, 8.543169 49.396954, 8.543073 49.393968, 8.541871 49.390871, 8.540736 49.387791, 8.539654 49.384926, 8.53851 49.38191, 8.537287 49.378732, 8.5382 49.375756, 8.539078 49.372893, 8.539969 49.370015, 8.540871 49.367089, 8.541729 49.364294, 8.539531 49.362058, 8.53708 49.359538, 8.534594 49.356996, 8.532179 49.354492, 8.529859 49.352144, 8.527589 49.349772, 8.525071 49.347216, 8.522568 49.344666, 8.520357 49.342395, 8.517924 49.339935, 8.515545 49.337479, 8.513138 49.335, 8.513143 49.332375, 8.513136 49.32954, 8.513165 49.326471, 8.513172 49.323482, 8.513209 49.320633, 8.513217 49.317718, 8.513202 49.31478, 8.513216 49.31206, 8.513224 49.309059, 8.513238 49.306162, 8.513246 49.303213, 8.513261 49.300229, 8.513268 49.297093, 8.513244 49.29437, 8.513244 49.29437))",0,0,220,5.39464196520526E-05,1.87170995077673E-05,5.5622672345846,0,5.39464196520526E-05,1.87170995077673E-05,1040.24883049142
Bus_10230,Bus_10229,,AC,0.03246494754509,0.00183479953959176,0,6.01868147626184E-07,1032,True,1032,10741.4862882191,0.7,0,40,4.73373822712601,0.11631652415957,1,2,-inf,inf,"MULTILINESTRING ((7.970292 51.67557, 7.970292 51.67557, 7.969158 51.676344, 7.969158 51.676344))",0,0,400,0.000000101403,0.00000001129715,0.148007123552,0,0.000000101403,0.00000001129715,3580
Bus_10273,Bus_10272,,AC,4.571,0.521,0,0.0000782,1044.8,True,1044.8,10741.4862882191,0.7,0,40,1.74638955227123,0.0429119551615143,1,2,-inf,inf,"MULTILINESTRING ((8.014885 50.639162, 8.014885 50.639162, 8.015466 50.639276, 8.015466 50.639276))",0,0,400,3.74078772204248E-08,4.1675543486571E-09,0.0547292367894511,0,3.74078772204248E-08,4.1675543486571E-09,3586.00503318854
Bus_10282,Bus_10279,,AC,0.156768206068697,0.0179723907371618,0,2.71801498386664E-06,1044.8,True,1044.8,10741.4862882191,0.7,0,40,47.5549484238451,1.16851123612038,1,2,-inf,inf,"MULTILINESTRING ((8.477831 50.594254, 8.477831 50.594254, 8.473965 50.59605, 8.469219 50.598289, 8.464526 50.600507, 8.464526 50.600507))",0,0,400,1.01892575133756E-06,1.135171442347E-07,1.4877122031718,0,1.01892575133756E-06,1.135171442347E-07,3580.73326193676
Bus_10453,Bus_10451,,AC,0.0412386750495774,0.00582373016832173,0,6.08094847803044E-07,282.04,True,282.04,6218.7552194953,0.7,0,40,5.20802179519339,0.127970530667043,1,1,-inf,inf,"MULTILINESTRING ((8.421636 49.63916, 8.421636 49.63916, 8.422665 49.640098, 8.422665 49.640098))",0,0,400,8.27710061326918E-07,2.87180253772498E-07,0.0215311852676621,0,8.27710061326918E-07,2.87180253772498E-07,523.361952079647
Bus_1067,Bus_1063,,AC,2.32068437844095,0.615310042686979,0,4.35379992071826E-05,211.2,True,211.2,6218.7552194953,0.7,0,40,255.04247984755,6.26685577983792,1,2,-inf,inf,"MULTILINESTRING ((13.506422 52.431206, 13.506422 52.431206, 13.505555 52.431703, 13.501733 52.433928, 13.498994 52.435491, 13.494857 52.437057, 13.4908 52.4386, 13.487108 52.440634, 13.483021 52.442897, 13.480359 52.444292, 13.479164 52.444993, 13.476527 52.446453, 13.478759 52.44902, 13.481214 52.451854, 13.483229 52.454302, 13.485453 52.457007, 13.487434 52.459466, 13.49003 52.461269, 13.491994 52.462603, 13.494599 52.465214, 13.497397 52.46816, 13.500185 52.471099, 13.502299 52.473346, 13.503362 52.47444, 13.503362 52.47444))",0,0,220,2.03691764800255E-05,7.06726317741348E-06,2.10045005290903,0,2.03691764800255E-05,7.06726317741348E-06,1040.29100530445
Bus_10701,Bus_10700,,AC,0.00958289106748707,0.00188214686745423,0,9.70952810036871E-08,283.8,True,283.8,6218.7552194953,0.7,0,40,1.00953640185225,0.0248061383291372,1,2,-inf,inf,"MULTILINESTRING ((6.703146 49.829809, 6.703146 49.829809, 6.703185 49.83003, 6.703185 49.83003))",0,0,220,7.99403417597355E-08,2.77359195993782E-08,0.0083620620981135,0,7.99403417597355E-08,2.77359195993782E-08,1050.97104412276
