id,bus0,bus1,type,carrier,x,r,g,b,s_nom,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,build_year,lifetime,capital_cost,length,terrain_factor,num_parallel,v_ang_min,v_ang_max,geom,s_nom_mod,sub_network,v_nom,x_pu,r_pu,b_pu,g_pu,x_pu_eff,r_pu_eff,s_nom_opt,geometry,length_m
Line_16446,BUS_10331,BUS_10330,,AC,0.0250159522666667,0.0027869922,0,3.940014648e-06,5370.0,True,5370.0,10741.4862882191,0.7,0,40,12.148715420831,0.298515947218478,1,3,-inf,inf,"MULTILINESTRING ((8.4275 49.70495, 8.4275 49.70495, 8.426963 49.707612, 8.426963 49.707612))",0,0,380,1.73240666666667e-07,1.93005e-08,0.5689381151712,0,1.73240666666667e-07,1.93005e-08,5370.0,"MULTILINESTRING ((458720.16075527715 5505983.836144098, 458720.16075527715 5505983.836144098, 458683.6985950721 5506280.087234357, 458683.6985950721 5506280.087234357))",298.48651159916466
Line_11831,BUS_1067,BUS_1066,,AC,0.149969852032485,0.0280056551107329,0,0.0001050564510953,550.281133469408,True,550.281133469408,6218.7552194953,0.7,0,40,64.6188938372971,1.58780328897781,1,1,-inf,inf,"MULTILINESTRING ((13.523224 52.424923, 13.523224 52.424923, 13.522707 52.426484, 13.522711 52.426602, 13.522696 52.426857, 13.522482 52.426857, 13.520207 52.426948, 13.519768 52.427282, 13.517708 52.427982, 13.515778 52.42839, 13.509684 52.429051, 13.507581 52.429627, 13.505423 52.430573, 13.505927 52.430939, 13.506422 52.431206, 13.506422 52.431206))",0,0,220,3.0985506618282e-06,5.78629237825061e-07,5.08473223301527,0,3.0985506618282e-06,5.78629237825061e-07,550.281133469408,"MULTILINESTRING ((807491.2009463431 5817929.434175129, 807491.2009463431 5817929.434175129, 807445.1971226463 5818100.724292934, 807444.6466839511 5818113.856070045, 807441.8507604885 5818142.133351985, 807427.3113401604 5818141.221849062, 807272.1112789309 5818141.648397862, 807239.9593586096 5818176.901039654, 807095.1294581083 5818245.933728676, 806961.167415651 5818283.069898837, 806542.5540366822 5818330.635573527, 806395.679905328 5818385.724102112, 806242.5045162058 5818481.706287667, 806274.2033147274 5818524.52305594, 806305.9774817721 5818556.298744053, 806305.9774817721 5818556.298744053))",1593.0005475532482
Line_6365,BUS_10681,BUS_10680,,AC,0.179970550778765,0.0200502385822505,0,5.0394658963741e-05,7160.25966014301,True,7160.25966014301,10741.4862882191,0.7,0,40,116.526077014004,2.86325681774093,1,3,-inf,inf,"MULTILINESTRING ((8.952374 48.739955, 8.952374 48.739955, 8.952828 48.735323, 8.953273 48.730962, 8.953717 48.726664, 8.954147 48.722644, 8.950657 48.719277, 8.946948 48.715717, 8.946948 48.715717))",0,0,380,1.24633345414657e-06,1.38852067744117e-07,7.2769887543642,0,1.24633345414657e-06,1.38852067744117e-07,7160.25966014301,"MULTILINESTRING ((496498.41536424134 5398549.561773873, 496498.41536424134 5398549.561773873, 496531.47594143194 5398034.647131185, 496563.8993160611 5397549.857877069, 496596.25908022944 5397072.072303552, 496627.6133399796 5396625.190341202, 496370.68934346037 5396251.075407972, 496097.6070547027 5395855.52980533, 496097.6070547027 5395855.52980533))",2863.205284484403
Line_6371,BUS_10683,BUS_10681,,AC,0.0128342214163605,0.0014298459786021,0,8.99343596860126e-07,3582.63900088262,True,3582.63900088262,10741.4862882191,0.7,0,40,4.15456650777817,0.102085225753582,1,2,-inf,inf,"MULTILINESTRING ((8.946948 48.715717, 8.946948 48.715717, 8.946178 48.714952, 8.946178 48.714952))",0,0,380,8.88796496977872e-08,9.901980461233911e-09,0.129865215386602,0,8.88796496977872e-08,9.901980461233911e-09,3582.63900088262,"MULTILINESTRING ((496097.6070547027 5395855.52980533, 496097.6070547027 5395855.52980533, 496040.9074587119 5395770.532306046, 496040.9074587119 5395770.532306046))",102.17347537377172
Line_5821,BUS_10784,BUS_10781,,AC,0.048909319710595,0.0169694426604854,0,5.42286232416278e-07,522.79616882348,True,522.79616882348,6218.7552194953,0.7,0,40,6.35078759984718,0.15605035678925,1,1,-inf,inf,"MULTILINESTRING ((12.565377 51.079125, 12.565377 51.079125, 12.563928 51.078056, 12.563928 51.078056))",0,0,220,1.01052313451643e-06,3.50608319431517e-07,0.0262466536489479,0,1.01052313451643e-06,3.50608319431517e-07,522.79616882348,"MULTILINESTRING ((749721.4353326067 5664672.452791583, 749721.4353326067 5664672.452791583, 749625.7320850543 5664548.705261059, 749625.7320850543 5664548.705261059))",156.43708928123382
Line_16627,BUS_11125,BUS_10781,,AC,0.0613124232953477,0.0212728130957195,0,6.78631534396105e-07,522.216866847927,True,522.216866847927,6218.7552194953,0.7,0,40,7.9422506803655,0.195155487865871,1,1,-inf,inf,"MULTILINESTRING ((12.566718 51.078151, 12.566718 51.078151, 12.563928 51.078056, 12.563928 51.078056))",0,0,220,1.26678560527578e-06,4.39520931729741e-07,0.0328457662647715,0,1.26678560527578e-06,4.39520931729741e-07,522.216866847927,"MULTILINESTRING ((749820.5848189131 5664568.735812755, 749820.5848189131 5664568.735812755, 749625.7320850543 5664548.705261059, 749625.7320850543 5664548.705261059))",195.8795826356747
Line_16621,BUS_11125,BUS_10784,,AC,0.0290353779990372,0.0100740566593318,0,7.69284843298825e-07,818.870668914626,True,818.870668914626,6218.7552194953,0.7,0,40,5.82793784626931,0.143202991118422,1,1,-inf,inf,"MULTILINESTRING ((12.566718 51.078151, 12.566718 51.078151, 12.565377 51.079125, 12.565377 51.079125))",0,0,220,5.99904504112339e-07,2.08141666515119e-07,0.0372333864156632,0,5.99904504112339e-07,2.08141666515119e-07,818.870668914626,"MULTILINESTRING ((749820.5848189131 5664568.735812755, 749820.5848189131 5664568.735812755, 749721.4353326067 5664672.452791583, 749721.4353326067 5664672.452791583))",143.48460660272835
Line_25028,BUS_11278,BUS_11269,,AC,0.0774395754338115,0.0268682261548969,0,3.41117893152167e-06,1040.85103997435,True,1040.85103997435,12437.5104389906,0.7,0,40,20.066039511692,0.493058943621744,1,2,-inf,inf,"MULTILINESTRING ((6.607672 49.49369, 6.607672 49.49369, 6.609507 49.489445, 6.609507 49.489445))",0,0,220,1.59999122797131e-06,5.55128639563986e-07,0.165101060285649,0,1.59999122797131e-06,5.55128639563986e-07,1040.85103997435,"MULTILINESTRING ((326762.86140417337 5485089.934047964, 326762.86140417337 5485089.934047964, 326880.7510889451 5484613.842043478, 326880.7510889451 5484613.842043478))",490.4707682537395
Line_3100,BUS_1142,BUS_1141,,AC,0.055303292,0.019187938,0,6.0833476e-07,520.0,True,520.0,6218.7552194953,0.7,0,40,7.15774320519615,0.175878717940995,1,1,-inf,inf,"MULTILINESTRING ((13.210647 52.679257, 13.210647 52.679257, 13.211241 52.680797, 13.211241 52.680797))",0,0,220,1.14263e-06,3.96445e-07,0.029443402384,0,1.14263e-06,3.96445e-07,520.0,"MULTILINESTRING ((784599.862257866 5844914.4323279485, 784599.862257866 5844914.4323279485, 784629.9679279376 5845087.962244117, 784629.9679279376 5845087.962244117))",176.1220689629884
Line_11866,BUS_1180,BUS_1141,,AC,0.0397253164,0.0137830132,0,4.36978432e-07,520.0,True,520.0,6218.7552194953,0.7,0,40,5.13229759940953,0.126109849990219,1,1,-inf,inf,"MULTILINESTRING ((13.210647 52.679257, 13.210647 52.679257, 13.208997 52.679792, 13.208997 52.679792))",0,0,220,8.20771e-07,2.84773e-07,0.0211497561088,0,8.20771e-07,2.84773e-07,520.0,"MULTILINESTRING ((784599.862257866 5844914.4323279485, 784599.862257866 5844914.4323279485, 784484.9107536024 5844967.375624189, 784484.9107536024 5844967.375624189))",126.55765859591422
Line_11883,BUS_1180,BUS_1142,,AC,0.059231436,0.0205508336,0,6.5154628e-07,520.0,True,520.0,6218.7552194953,0.7,0,40,7.65486849768944,0.188093986999025,1,1,-inf,inf,"MULTILINESTRING ((13.208997 52.679792, 13.208997 52.679792, 13.211241 52.680797, 13.211241 52.680797))",0,0,220,1.22379e-06,4.24604e-07,0.031534839952,0,1.22379e-06,4.24604e-07,520.0,"MULTILINESTRING ((784484.9107536024 5844967.375624189, 784484.9107536024 5844967.375624189, 784629.9679279376 5845087.962244117, 784629.9679279376 5845087.962244117))",188.6338165114445
Line_6942,BUS_11809,BUS_11807,,AC,0.0526029708372065,0.0058604147517649,0,9.21864683986348e-07,1791.77163356253,True,1791.77163356253,10741.4862882191,0.7,0,40,8.52375883147794,0.209444196633132,1,1,-inf,inf,"MULTILINESTRING ((11.031706 48.397093, 11.031706 48.397093, 11.031681 48.395209, 11.031681 48.395209))",0,0,380,3.64286501642704e-07,4.05845896936627e-08,0.133117260367629,0,3.64286501642704e-07,4.05845896936627e-08,1791.77163356253,"MULTILINESTRING ((650385.7314686012 5362431.180601379, 650385.7314686012 5362431.180601379, 650389.435590941 5362221.733682157, 650389.435590941 5362221.733682157))",209.47967083716568
Line_16835,BUS_11816,BUS_11815,,AC,0.047542256,0.005296592,0,1.331183168e-05,7160.0,True,7160.0,10741.4862882191,0.7,0,40,30.6986850286581,0.754322306700696,1,4,-inf,inf,"MULTILINESTRING ((14.567854 51.410619, 14.567854 51.410619, 14.562605 51.410053, 14.557136 51.409468, 14.557136 51.409468))",0,0,380,3.2924e-07,3.668e-08,1.922228494592,0,3.2924e-07,3.668e-08,7160.0,"MULTILINESTRING ((887099.9694467625 5710211.108886984, 887099.9694467625 5710211.108886984, 886740.0811669377 5710120.455017164, 886365.0586112204 5710026.553967058, 886365.0586112204 5710026.553967058))",757.7299933979047
Line_16836,BUS_11818,BUS_11815,,AC,0.110990172,0.0123652608,0,7.7692976e-06,3580.0,True,3580.0,10741.4862882191,0.7,0,40,35.8610027449012,0.881169805347726,1,2,-inf,inf,"MULTILINESTRING ((14.578348 51.415086, 14.578348 51.415086, 14.574722 51.413547, 14.570731 51.411852, 14.567854 51.410619, 14.567854 51.410619))",0,0,380,7.6863e-07,8.5632e-08,1.12188657344,0,7.6863e-07,8.5632e-08,3580.0,"MULTILINESTRING ((887791.1526856842 5710762.971640702, 887791.1526856842 5710762.971640702, 887552.306363228 5710572.773001329, 887289.4060488343 5710363.322440413, 887099.9694467625 5710211.108886984, 887099.9694467625 5710211.108886984))",884.4713721750333
Line_6966,BUS_11827,BUS_11825,,AC,0.160790213549399,0.0557873788545385,0,1.77276897328564e-06,520.853327265837,True,520.853327265837,6218.7552194953,0.7,0,40,20.8017156976379,0.511135840304759,1,1,-inf,inf,"MULTILINESTRING ((13.058825 48.267981, 13.058825 48.267981, 13.052545 48.269893, 13.052545 48.269893))",0,0,220,3.32211185019418e-06,1.15263179451526e-06,0.085802018307025,0,3.32211185019418e-06,1.15263179451526e-06,520.853327265837,"MULTILINESTRING ((801170.2098750467 5354052.954356452, 801170.2098750467 5354052.954356452, 800693.080867783 5354240.762623421, 800693.080867783 5354240.762623421))",512.7611868249528
Line_7038,BUS_11828,BUS_11827,,AC,0.387819729577243,0.134556787454298,0,6.82906444005032e-05,2080.65874717029,True,2080.65874717029,6218.7552194953,0.7,0,40,200.606371913999,4.92926198825004,1,4,-inf,inf,"MULTILINESTRING ((12.998197 48.295336, 12.998197 48.295336, 13.002837 48.293595, 13.008563 48.291438, 13.014709 48.289116, 13.019091 48.287394, 13.024095 48.284787, 13.026952 48.28328, 13.031496 48.280931, 13.036813 48.278133, 13.042023 48.275407, 13.04711 48.272764, 13.052545 48.269893, 13.052545 48.269893))",0,0,220,8.01280433010833e-06,2.78009891434501e-06,3.30526718898435,0,8.01280433010833e-06,2.78009891434501e-06,2080.65874717029,"MULTILINESTRING ((796513.7843678348 5356856.25737398, 796513.7843678348 5356856.25737398, 796867.9380806978 5356680.760501798, 797305.0632824092 5356463.271179863, 797774.3300745854 5356229.111049856, 798109.3219115969 5356054.797256466, 798495.6281438272 5355784.5833645305, 798716.3120198933 5355628.256298552, 799067.0506622508 5355384.955324775, 799477.7826573604 5355094.80183356, 799880.1980402484 5354812.258338837, 800273.0425418194 5354538.482822148, 800693.080867783 5354240.762623421, 800693.080867783 5354240.762623421))",4942.570476590289
