id_net,id_dlr,id_dlr,length_network,length_dlr
Line_16983,0,0,26249.6408473989,51511.0
Line_16921,0,0,30343.873569713705,51511.0
Line_15983,0,0,59856.45111791308,51511.0
Line_24978,0,0,267.4453804257981,51511.0
Line_6055,0,0,326.7107184367838,51511.0
Line_17230,0,0,233.9443889566155,51511.0
Line_30243,0,0,2861.8443394770975,51511.0
Line_17545,0,0,18231.201208621253,51511.0
Line_30247,0,0,8040.106345049266,51511.0
Line_17232,0,0,37046.21029773516,51511.0
Line_6481,0,0,41253.81530262357,51511.0
Line_16622,0,0,10405.883056800842,51511.0
Line_16187,0,0,82571.22882798752,51511.0
Line_17073,0,0,158710.9533420032,51511.0
Line_24125,0,0,297.34222527954853,51511.0
Line_6922,0,0,20374.05817313239,51511.0
Line_17458,0,0,84570.9305756763,51511.0
Line_7396,0,0,27815.99011300295,51511.0
Line_17319,1,1,32495.666279807243,98324.0
Line_16983,1,1,26249.6408473989,98324.0
Line_6077,1,1,1903.218126852017,98324.0
Line_16921,1,1,30343.873569713705,98324.0
Line_15983,1,1,59856.45111791308,98324.0
Line_24978,1,1,267.4453804257981,98324.0
Line_6055,1,1,326.7107184367838,98324.0
Line_17230,1,1,233.9443889566155,98324.0
Line_30243,1,1,2861.8443394770975,98324.0
Line_17545,1,1,18231.201208621253,98324.0
Line_30247,1,1,8040.106345049266,98324.0
Line_5815,1,1,57176.0107307663,98324.0
Line_17232,1,1,37046.21029773516,98324.0
Line_6481,1,1,41253.81530262357,98324.0
Line_16187,1,1,82571.22882798752,98324.0
Line_17319,2,2,32495.666279807243,67550.0
Line_6077,2,2,1903.218126852017,67550.0
Line_15981,2,2,191.23355692462286,67550.0
Line_16230,2,2,223.25673011304204,67550.0
Line_15983,2,2,59856.45111791308,67550.0
Line_5815,2,2,57176.0107307663,67550.0
Line_16622,2,2,10405.883056800842,67550.0
Line_17073,2,2,158710.9533420032,67550.0
Line_24125,2,2,297.34222527954853,67550.0
Line_6922,2,2,20374.05817313239,67550.0
Line_17458,2,2,84570.9305756763,67550.0
Line_7396,2,2,27815.99011300295,67550.0
Line_5786,3,3,52205.10821536844,41418.0
Line_13460,3,3,47094.55758584535,41418.0
Line_37,3,3,368.71550821864184,41418.0
Line_12513,3,3,35729.87805236027,41418.0
Line_15466,3,3,41260.443347975495,41418.0
Line_15465,3,3,369.9374427910932,41418.0
Line_15457,3,3,390.3263770637028,41418.0
Line_31972,3,3,355.60796402581,41418.0
Line_11664,3,3,42182.22746245734,41418.0
Line_13550,3,3,67391.10449399556,41418.0
Line_15456,3,3,65200.51765136559,41418.0
Line_2837,4,4,68964.1212299462,38882.0
Line_31697,4,4,69334.12308953212,38882.0
Line_2833,4,4,61719.551894086515,38882.0
Line_2400,4,4,433.28102211263956,38882.0
Line_22742,4,4,672.5970903368312,38882.0
Line_22752,4,4,235.55872439910635,38882.0
Line_11828,4,4,30911.79283170086,38882.0
Line_3067,4,4,6282.24597656862,38882.0
Line_1319,4,4,201.71413683540828,38882.0
Line_3089,4,4,130.2380523075919,38882.0
Line_11835,4,4,139.07280119094716,38882.0
Line_30394,4,4,2218.0527674863533,38882.0
Line_11856,4,4,3950.4504936506123,38882.0
Line_2837,5,5,68964.1212299462,27400.0
Line_31697,5,5,69334.12308953212,27400.0
Line_32054,5,5,104458.564600226,27400.0
Line_11373,5,5,55095.28494095521,27400.0
Line_2401,5,5,308.2475241689756,27400.0
Line_2905,5,5,246.7669946294231,27400.0
Line_23762,5,5,165.67480633037462,27400.0
Line_2383,5,5,693.2429347268817,27400.0
Line_24141,5,5,229.0422901344047,27400.0
Line_2384,5,5,360.30482035040484,27400.0
Line_32051,5,5,4760.423036539001,27400.0
Line_833,5,5,24880.29869693366,27400.0
Line_3126,5,5,25184.459821554934,27400.0
Line_3099,5,5,2538.150343875416,27400.0
Line_3067,6,6,6282.24597656862,9111.0
Line_1319,6,6,201.71413683540828,9111.0
Line_3089,6,6,130.2380523075919,9111.0
Line_11835,6,6,139.07280119094716,9111.0
Line_30394,6,6,2218.0527674863533,9111.0
Line_11856,6,6,3950.4504936506123,9111.0
Line_30393,6,6,1732.39772616426,9111.0
Line_11854,6,6,5131.802840999128,9111.0
Line_3292,6,6,3568.1934434773366,9111.0
Line_3293,6,6,352.9217582681993,9111.0
Line_3296,6,6,1196.294664091268,9111.0
Line_17478,6,6,5663.7710186579625,9111.0
Line_31724,6,6,1344.8938785032553,9111.0
Line_2848,6,6,58.14352331314434,9111.0
Line_2707,6,6,16884.099215388193,9111.0
Line_3067,7,7,6282.24597656862,9111.0
Line_1319,7,7,201.71413683540828,9111.0
Line_3089,7,7,130.2380523075919,9111.0
Line_11835,7,7,139.07280119094716,9111.0
Line_30394,7,7,2218.0527674863533,9111.0
Line_11856,7,7,3950.4504936506123,9111.0
Line_30393,7,7,1732.39772616426,9111.0
Line_11854,7,7,5131.802840999128,9111.0
Line_3292,7,7,3568.1934434773366,9111.0
Line_3293,7,7,352.9217582681993,9111.0
Line_3296,7,7,1196.294664091268,9111.0
Line_17478,7,7,5663.7710186579625,9111.0
Line_31724,7,7,1344.8938785032553,9111.0
Line_2848,7,7,58.14352331314434,9111.0
Line_2707,7,7,16884.099215388193,9111.0
Line_2837,8,8,68964.1212299462,38882.0
Line_31697,8,8,69334.12308953212,38882.0
Line_2833,8,8,61719.551894086515,38882.0
Line_2400,8,8,433.28102211263956,38882.0
Line_22742,8,8,672.5970903368312,38882.0
Line_22752,8,8,235.55872439910635,38882.0
Line_11828,8,8,30911.79283170086,38882.0
Line_3067,8,8,6282.24597656862,38882.0
Line_1319,8,8,201.71413683540828,38882.0
Line_3089,8,8,130.2380523075919,38882.0
Line_11835,8,8,139.07280119094716,38882.0
Line_30394,8,8,2218.0527674863533,38882.0
Line_11856,8,8,3950.4504936506123,38882.0
Line_17219,9,9,41775.21495559481,86064.0
Line_2707,9,9,16884.099215388193,86064.0
Line_23928,9,9,1487.7353534176739,86064.0
Line_11870,9,9,39338.43306138307,86064.0
Line_14165,9,9,38999.05022030366,86064.0
Line_14727,9,9,8661.480141191396,86064.0
Line_14726,9,9,310.36647943423174,86064.0
Line_14724,9,9,29399.21344236192,86064.0
Line_17219,10,10,41775.21495559481,100756.0
Line_2707,10,10,16884.099215388193,100756.0
Line_23928,10,10,1487.7353534176739,100756.0
Line_11870,10,10,39338.43306138307,100756.0
Line_14727,11,11,8661.480141191396,29471.0
Line_14726,11,11,310.36647943423174,29471.0
Line_14724,11,11,29399.21344236192,29471.0
Line_30124,11,11,191.54288226206523,29471.0
Line_30126,11,11,127.0807041599322,29471.0
Line_2381,11,11,139.18513913065746,29471.0
Line_13554,11,11,61585.05283355841,29471.0
Line_30125,11,11,61393.509966343576,29471.0
Line_14724,12,12,29399.21344236192,61885.0
Line_30124,12,12,191.54288226206523,61885.0
Line_30126,12,12,127.0807041599322,61885.0
Line_2381,12,12,139.18513913065746,61885.0
Line_13554,12,12,61585.05283355841,61885.0
Line_30125,12,12,61393.509966343576,61885.0
Line_14724,15,15,29399.21344236192,151143.0
Line_5786,15,15,52205.10821536844,151143.0
Line_13460,15,15,47094.55758584535,151143.0
Line_37,15,15,368.71550821864184,151143.0
Line_12513,15,15,35729.87805236027,151143.0
Line_15466,15,15,41260.443347975495,151143.0
Line_30712,15,15,23515.989133738138,151143.0
Line_9987,15,15,16735.2260438061,151143.0
Line_11664,15,15,42182.22746245734,151143.0
Line_11287,15,15,50006.91340411647,151143.0
Line_13550,15,15,67391.10449399556,151143.0
Line_30124,15,15,191.54288226206523,151143.0
Line_30126,15,15,127.0807041599322,151143.0
Line_2381,15,15,139.18513913065746,151143.0
Line_13554,15,15,61585.05283355841,151143.0
Line_30125,15,15,61393.509966343576,151143.0
Line_14724,16,16,29399.21344236192,151143.0
Line_5786,16,16,52205.10821536844,151143.0
Line_13460,16,16,47094.55758584535,151143.0
Line_37,16,16,368.71550821864184,151143.0
Line_12513,16,16,35729.87805236027,151143.0
Line_15466,16,16,41260.443347975495,151143.0
Line_30712,16,16,23515.989133738138,151143.0
Line_9987,16,16,16735.2260438061,151143.0
Line_11664,16,16,42182.22746245734,151143.0
Line_11287,16,16,50006.91340411647,151143.0
Line_13550,16,16,67391.10449399556,151143.0
Line_30124,16,16,191.54288226206523,151143.0
Line_30126,16,16,127.0807041599322,151143.0
Line_2381,16,16,139.18513913065746,151143.0
Line_13554,16,16,61585.05283355841,151143.0
Line_30125,16,16,61393.509966343576,151143.0
Line_5786,17,17,52205.10821536844,106538.0
Line_13460,17,17,47094.55758584535,106538.0
Line_37,17,17,368.71550821864184,106538.0
Line_12513,17,17,35729.87805236027,106538.0
Line_15466,17,17,41260.443347975495,106538.0
Line_11664,17,17,42182.22746245734,106538.0
Line_13550,17,17,67391.10449399556,106538.0
Line_15456,17,17,65200.51765136559,106538.0
Line_14918,17,17,56800.945567875104,106538.0
Line_15466,18,18,41260.443347975495,65349.00000000001
Line_15465,18,18,369.9374427910932,65349.00000000001
Line_15457,18,18,390.3263770637028,65349.00000000001
Line_31972,18,18,355.60796402581,65349.00000000001
Line_15456,18,18,65200.51765136559,65349.00000000001
Line_6033,19,19,110715.10093279358,52317.0
Line_16136,19,19,264.3657971620407,52317.0
Line_5788,19,19,225.66093672637967,52317.0
Line_16144,19,19,190.00293332795923,52317.0
Line_5786,19,19,52205.10821536844,52317.0
Line_13460,19,19,47094.55758584535,52317.0
Line_37,19,19,368.71550821864184,52317.0
Line_12513,19,19,35729.87805236027,52317.0
Line_15466,19,19,41260.443347975495,52317.0
Line_11664,19,19,42182.22746245734,52317.0
Line_13550,19,19,67391.10449399556,52317.0
Line_32054,20,20,104458.564600226,141507.0
Line_32060,20,20,99895.48265902688,141507.0
Line_3053,20,20,116757.84516620905,141507.0
Line_17504,20,20,38776.11321198585,141507.0
Line_31651,20,20,20537.263652247326,141507.0
Line_17984,20,20,48911.17434896597,141507.0
Line_19922,20,20,37377.23525342264,141507.0
Line_31608,20,20,37634.32033422362,141507.0
Line_4241,20,20,37485.2682057987,141507.0
Line_3135,20,20,63962.82872863136,141507.0
Line_6033,20,20,110715.10093279358,141507.0
Line_16136,20,20,264.3657971620407,141507.0
Line_5788,20,20,225.66093672637967,141507.0
Line_16144,20,20,190.00293332795923,141507.0
Line_5786,20,20,52205.10821536844,141507.0
Line_16622,21,21,10405.883056800842,159147.0
Line_7596,21,21,104537.88941127225,159147.0
Line_6994,21,21,78146.15809742175,159147.0
Line_17073,21,21,158710.9533420032,159147.0
Line_24125,21,21,297.34222527954853,159147.0
Line_9503,21,21,151.73687153934347,159147.0
Line_6922,21,21,20374.05817313239,159147.0
Line_9502,21,21,3526.8139575663117,159147.0
Line_17458,21,21,84570.9305756763,159147.0
Line_7396,21,21,27815.99011300295,159147.0
Line_17164,21,21,66006.0758603283,159147.0
Line_24909,21,21,428.53142705807323,159147.0
Line_16622,22,22,10405.883056800842,159147.0
Line_7596,22,22,104537.88941127225,159147.0
Line_6994,22,22,78146.15809742175,159147.0
Line_17073,22,22,158710.9533420032,159147.0
Line_24125,22,22,297.34222527954853,159147.0
Line_9503,22,22,151.73687153934347,159147.0
Line_6922,22,22,20374.05817313239,159147.0
Line_9502,22,22,3526.8139575663117,159147.0
Line_17458,22,22,84570.9305756763,159147.0
Line_7396,22,22,27815.99011300295,159147.0
Line_17164,22,22,66006.0758603283,159147.0
Line_24909,22,22,428.53142705807323,159147.0
Line_6889,23,23,55951.920882440565,65756.0
Line_12162,23,23,25860.818927519973,65756.0
Line_22681,23,23,541.774254912682,65756.0
Line_3339,23,23,71976.72865154987,65756.0
Line_6890,23,23,516.8965049168764,65756.0
Line_22765,23,23,481.8528437962501,65756.0
Line_7596,23,23,104537.88941127225,65756.0
Line_6994,23,23,78146.15809742175,65756.0
Line_17073,23,23,158710.9533420032,65756.0
Line_17164,23,23,66006.0758603283,65756.0
Line_24909,23,23,428.53142705807323,65756.0
Line_6889,24,24,55951.920882440565,65756.0
Line_12162,24,24,25860.818927519973,65756.0
Line_22681,24,24,541.774254912682,65756.0
Line_3339,24,24,71976.72865154987,65756.0
Line_6890,24,24,516.8965049168764,65756.0
Line_22765,24,24,481.8528437962501,65756.0
Line_7596,24,24,104537.88941127225,65756.0
Line_6994,24,24,78146.15809742175,65756.0
Line_17073,24,24,158710.9533420032,65756.0
Line_17164,24,24,66006.0758603283,65756.0
Line_24909,24,24,428.53142705807323,65756.0
Line_15980,25,25,42818.91408068317,77547.0
Line_3344,25,25,51932.40898097655,77547.0
Line_6889,25,25,55951.920882440565,77547.0
Line_12162,25,25,25860.818927519973,77547.0
Line_22681,25,25,541.774254912682,77547.0
Line_6970,25,25,56175.5985612546,77547.0
Line_16969,25,25,124.50850422544612,77547.0
Line_3339,25,25,71976.72865154987,77547.0
Line_7135,25,25,225.47642555775505,77547.0
Line_5822,25,25,268.8490004436094,77547.0
Line_31425,25,25,627.0497840945196,77547.0
Line_5817,25,25,688.4913957400897,77547.0
Line_7137,25,25,389.9949788829568,77547.0
Line_23064,25,25,461.92519234792655,77547.0
Line_30664,25,25,4015.0109647774916,77547.0
Line_17469,25,25,50414.647157133266,77547.0
Line_21524,25,25,14964.370157332894,77547.0
Line_7138,25,25,15329.720324638445,77547.0
Line_6890,25,25,516.8965049168764,77547.0
Line_22765,25,25,481.8528437962501,77547.0
Line_7596,25,25,104537.88941127225,77547.0
Line_6994,25,25,78146.15809742175,77547.0
Line_17164,25,25,66006.0758603283,77547.0
Line_15980,26,26,42818.91408068317,77547.0
Line_3344,26,26,51932.40898097655,77547.0
Line_6889,26,26,55951.920882440565,77547.0
Line_12162,26,26,25860.818927519973,77547.0
Line_22681,26,26,541.774254912682,77547.0
Line_6970,26,26,56175.5985612546,77547.0
Line_16969,26,26,124.50850422544612,77547.0
Line_3339,26,26,71976.72865154987,77547.0
Line_7135,26,26,225.47642555775505,77547.0
Line_5822,26,26,268.8490004436094,77547.0
Line_31425,26,26,627.0497840945196,77547.0
Line_5817,26,26,688.4913957400897,77547.0
Line_7137,26,26,389.9949788829568,77547.0
Line_23064,26,26,461.92519234792655,77547.0
Line_30664,26,26,4015.0109647774916,77547.0
Line_17469,26,26,50414.647157133266,77547.0
Line_21524,26,26,14964.370157332894,77547.0
Line_7138,26,26,15329.720324638445,77547.0
Line_6890,26,26,516.8965049168764,77547.0
Line_22765,26,26,481.8528437962501,77547.0
Line_7596,26,26,104537.88941127225,77547.0
Line_6994,26,26,78146.15809742175,77547.0
Line_17164,26,26,66006.0758603283,77547.0
Line_12051,27,27,28161.947396744716,87470.0
Line_22487,27,27,174.46938218272808,87470.0
Line_10928,27,27,395.43778204427696,87470.0
Line_11886,27,27,28677.435782617824,87470.0
Line_7241,27,27,86671.2290828518,87470.0
Line_13461,27,27,23959.853494626706,87470.0
Line_17089,27,27,500.1452191939718,87470.0
Line_32101,27,27,646.4522220679839,87470.0
Line_31373,27,27,653.6789963808396,87470.0
Line_12051,28,28,28161.947396744716,111421.0
Line_22487,28,28,174.46938218272808,111421.0
Line_10928,28,28,395.43778204427696,111421.0
Line_11886,28,28,28677.435782617824,111421.0
Line_7241,28,28,86671.2290828518,111421.0
Line_7615,28,28,143.6035706486669,111421.0
Line_13461,28,28,23959.853494626706,111421.0
Line_13460,28,28,47094.55758584535,111421.0
Line_7241,29,29,86671.2290828518,71582.0
Line_13461,29,29,23959.853494626706,71582.0
Line_17089,29,29,500.1452191939718,71582.0
Line_32101,29,29,646.4522220679839,71582.0
Line_31373,29,29,653.6789963808396,71582.0
Line_5786,29,29,52205.10821536844,71582.0
Line_13460,29,29,47094.55758584535,71582.0
Line_37,29,29,368.71550821864184,71582.0
Line_12513,29,29,35729.87805236027,71582.0
Line_15466,29,29,41260.443347975495,71582.0
Line_11664,29,29,42182.22746245734,71582.0
Line_13550,29,29,67391.10449399556,71582.0
Line_7615,30,30,143.6035706486669,47103.0
Line_13461,30,30,23959.853494626706,47103.0
Line_5786,30,30,52205.10821536844,47103.0
Line_13460,30,30,47094.55758584535,47103.0
Line_37,30,30,368.71550821864184,47103.0
Line_12513,30,30,35729.87805236027,47103.0
Line_15466,30,30,41260.443347975495,47103.0
Line_11664,30,30,42182.22746245734,47103.0
Line_13550,30,30,67391.10449399556,47103.0
Line_7084,31,31,105603.43454781073,48545.0
Line_32054,31,31,104458.564600226,48545.0
Line_32060,31,31,99895.48265902688,48545.0
Line_3053,31,31,116757.84516620905,48545.0
Line_16873,31,31,10127.733597002207,48545.0
Line_17504,31,31,38776.11321198585,48545.0
Line_31651,31,31,20537.263652247326,48545.0
Line_17984,31,31,48911.17434896597,48545.0
Line_19922,31,31,37377.23525342264,48545.0
Line_31608,31,31,37634.32033422362,48545.0
Line_4241,31,31,37485.2682057987,48545.0
Line_7084,32,32,105603.43454781073,48545.0
Line_32054,32,32,104458.564600226,48545.0
