id_net,bus0_dlr,bus1_dlr,match_id,id_dlr,match_type
Line_16983,,,1,0,buffer
Line_16921,,,1,0,buffer
Line_15983,,,1,0,buffer
Line_24978,,,1,0,buffer
Line_6055,,,1,0,buffer
Line_17230,,,1,0,buffer
Line_30243,,,1,0,buffer
Line_17545,,,1,0,buffer
Line_30247,,,1,0,buffer
Line_17232,,,1,0,buffer
Line_6481,,,1,0,buffer
Line_16622,,,1,0,buffer
Line_16187,,,1,0,buffer
Line_17073,,,1,0,buffer
Line_24125,,,1,0,buffer
Line_6922,,,1,0,buffer
Line_17458,,,1,0,buffer
Line_7396,,,1,0,buffer
Line_17319,,,2,1,buffer
Line_16983,,,2,1,buffer
Line_6077,,,2,1,buffer
Line_16921,,,2,1,buffer
Line_15983,,,2,1,buffer
Line_24978,,,2,1,buffer
Line_6055,,,2,1,buffer
Line_17230,,,2,1,buffer
Line_30243,,,2,1,buffer
Line_17545,,,2,1,buffer
Line_30247,,,2,1,buffer
Line_5815,,,2,1,buffer
Line_17232,,,2,1,buffer
Line_6481,,,2,1,buffer
Line_16187,,,2,1,buffer
Line_17319,,,3,2,buffer
Line_6077,,,3,2,buffer
Line_15981,,,3,2,buffer
Line_16230,,,3,2,buffer
Line_15983,,,3,2,buffer
Line_5815,,,3,2,buffer
Line_16622,,,3,2,buffer
Line_17073,,,3,2,buffer
Line_24125,,,3,2,buffer
Line_6922,,,3,2,buffer
Line_17458,,,3,2,buffer
Line_7396,,,3,2,buffer
Line_5786,,,4,3,buffer
Line_13460,,,4,3,buffer
Line_37,,,4,3,buffer
Line_12513,,,4,3,buffer
Line_15466,,,4,3,buffer
Line_15465,,,4,3,buffer
Line_15457,,,4,3,buffer
Line_31972,,,4,3,buffer
Line_11664,,,4,3,buffer
Line_13550,,,4,3,buffer
Line_15456,,,4,3,buffer
Line_2837,,,5,4,buffer
Line_31697,,,5,4,buffer
Line_2833,,,5,4,buffer
Line_2400,,,5,4,buffer
Line_22742,,,5,4,buffer
Line_22752,,,5,4,buffer
Line_11828,,,5,4,buffer
Line_3067,,,5,4,buffer
Line_1319,,,5,4,buffer
Line_3089,,,5,4,buffer
Line_11835,,,5,4,buffer
Line_30394,,,5,4,buffer
Line_11856,,,5,4,buffer
Line_2837,,,6,5,buffer
Line_31697,,,6,5,buffer
Line_32054,,,6,5,buffer
Line_11373,,,6,5,buffer
Line_2401,,,6,5,buffer
Line_2905,,,6,5,buffer
Line_23762,,,6,5,buffer
Line_2383,,,6,5,buffer
Line_24141,,,6,5,buffer
Line_2384,,,6,5,buffer
Line_32051,,,6,5,buffer
Line_833,,,6,5,buffer
Line_3126,,,6,5,buffer
Line_3099,,,6,5,buffer
Line_3067,,,7,6,buffer
Line_1319,,,7,6,buffer
Line_3089,,,7,6,buffer
Line_11835,,,7,6,buffer
Line_30394,,,7,6,buffer
Line_11856,,,7,6,buffer
Line_30393,,,7,6,buffer
Line_11854,,,7,6,buffer
Line_3292,,,7,6,buffer
Line_3293,,,7,6,buffer
Line_3296,,,7,6,buffer
Line_17478,,,7,6,buffer
Line_31724,,,7,6,buffer
Line_2848,,,7,6,buffer
Line_2707,,,7,6,buffer
Line_3067,,,8,7,buffer
Line_1319,,,8,7,buffer
Line_3089,,,8,7,buffer
Line_11835,,,8,7,buffer
Line_30394,,,8,7,buffer
Line_11856,,,8,7,buffer
Line_30393,,,8,7,buffer
Line_11854,,,8,7,buffer
Line_3292,,,8,7,buffer
Line_3293,,,8,7,buffer
Line_3296,,,8,7,buffer
Line_17478,,,8,7,buffer
Line_31724,,,8,7,buffer
Line_2848,,,8,7,buffer
Line_2707,,,8,7,buffer
Line_2837,,,9,8,buffer
Line_31697,,,9,8,buffer
Line_2833,,,9,8,buffer
Line_2400,,,9,8,buffer
Line_22742,,,9,8,buffer
Line_22752,,,9,8,buffer
Line_11828,,,9,8,buffer
Line_3067,,,9,8,buffer
Line_1319,,,9,8,buffer
Line_3089,,,9,8,buffer
Line_11835,,,9,8,buffer
Line_30394,,,9,8,buffer
Line_11856,,,9,8,buffer
Line_17219,,,10,9,buffer
Line_2707,,,10,9,buffer
Line_23928,,,10,9,buffer
Line_11870,,,10,9,buffer
Line_14165,,,10,9,buffer
Line_14727,,,10,9,buffer
Line_14726,,,10,9,buffer
Line_14724,,,10,9,buffer
Line_17219,,,11,10,buffer
Line_2707,,,11,10,buffer
Line_23928,,,11,10,buffer
Line_11870,,,11,10,buffer
Line_14727,,,12,11,buffer
Line_14726,,,12,11,buffer
Line_14724,,,12,11,buffer
Line_30124,,,12,11,buffer
Line_30126,,,12,11,buffer
Line_2381,,,12,11,buffer
Line_13554,,,12,11,buffer
Line_30125,,,12,11,buffer
Line_14724,,,13,12,buffer
Line_30124,,,13,12,buffer
Line_30126,,,13,12,buffer
Line_2381,,,13,12,buffer
Line_13554,,,13,12,buffer
Line_30125,,,13,12,buffer
Line_14724,,,14,15,buffer
Line_5786,,,14,15,buffer
Line_13460,,,14,15,buffer
Line_37,,,14,15,buffer
Line_12513,,,14,15,buffer
Line_15466,,,14,15,buffer
Line_30712,,,14,15,buffer
Line_9987,,,14,15,buffer
Line_11664,,,14,15,buffer
Line_11287,,,14,15,buffer
Line_13550,,,14,15,buffer
Line_30124,,,14,15,buffer
Line_30126,,,14,15,buffer
Line_2381,,,14,15,buffer
Line_13554,,,14,15,buffer
Line_30125,,,14,15,buffer
Line_14724,,,15,16,buffer
Line_5786,,,15,16,buffer
Line_13460,,,15,16,buffer
Line_37,,,15,16,buffer
Line_12513,,,15,16,buffer
Line_15466,,,15,16,buffer
Line_30712,,,15,16,buffer
Line_9987,,,15,16,buffer
Line_11664,,,15,16,buffer
Line_11287,,,15,16,buffer
Line_13550,,,15,16,buffer
Line_30124,,,15,16,buffer
Line_30126,,,15,16,buffer
Line_2381,,,15,16,buffer
Line_13554,,,15,16,buffer
Line_30125,,,15,16,buffer
Line_5786,,,16,17,buffer
Line_13460,,,16,17,buffer
Line_37,,,16,17,buffer
Line_12513,,,16,17,buffer
Line_15466,,,16,17,buffer
Line_11664,,,16,17,buffer
Line_13550,,,16,17,buffer
Line_15456,,,16,17,buffer
Line_14918,,,16,17,buffer
Line_15466,,,17,18,buffer
Line_15465,,,17,18,buffer
Line_15457,,,17,18,buffer
Line_31972,,,17,18,buffer
Line_15456,,,17,18,buffer
Line_6033,,,18,19,buffer
Line_16136,,,18,19,buffer
Line_5788,,,18,19,buffer
Line_16144,,,18,19,buffer
Line_5786,,,18,19,buffer
Line_13460,,,18,19,buffer
Line_37,,,18,19,buffer
Line_12513,,,18,19,buffer
Line_15466,,,18,19,buffer
Line_11664,,,18,19,buffer
Line_13550,,,18,19,buffer
Line_32054,,,19,20,buffer
Line_32060,,,19,20,buffer
Line_3053,,,19,20,buffer
Line_17504,,,19,20,buffer
Line_31651,,,19,20,buffer
Line_17984,,,19,20,buffer
Line_19922,,,19,20,buffer
Line_31608,,,19,20,buffer
Line_4241,,,19,20,buffer
Line_3135,,,19,20,buffer
