id,NE_name,r_dlr,x_dlr,b_dlr,length,Comment,bus0,bus1,EIC_Code,TSO,CORE-TSO_bus0,CORE-TSO_bus1,v_nom,Imax,Maximum Current Imax (A) Period 2,Maximum Current Imax (A) Period 3,Maximum Current Imax (A) Period 4,Maximum Current Imax (A) Period 5,Maximum Current Imax (A) Period 6,Maximum Current Imax (A) Fixed,Dynamic line rating (DLR) DLRmin(A),Dynamic line rating (DLR) DLRmax(A),s_nom,tie_line,Unnamed: 26,name,length_m,featurecla,scalerank,LABELRANK,SOVEREIGNT,SOV_A3,ADM0_DIF,LEVEL,TYPE,TLC,ADMIN,ADM0_A3,GEOU_DIF,GEOUNIT,GU_A3,SU_DIF,SUBUNIT,SU_A3,BRK_DIFF,NAME,NAME_LONG,BRK_A3,BRK_NAME,BRK_GROUP,ABBREV,POSTAL,FORMAL_EN,FORMAL_FR,NAME_CIAWF,NOTE_ADM0,NOTE_BRK,NAME_SORT,NAME_ALT,MAPCOLOR7,MAPCOLOR8,MAPCOLOR9,MAPCOLOR13,POP_EST,POP_RANK,POP_YEAR,GDP_MD,GDP_YEAR,ECONOMY,INCOME_GRP,FIPS_10,ISO_A2,ISO_A2_EH,ISO_A3,ISO_A3_EH,ISO_N3,ISO_N3_EH,UN_A3,WB_A2,WB_A3,WOE_ID,WOE_ID_EH,WOE_NOTE,ADM0_ISO,ADM0_DIFF,ADM0_TLC,ADM0_A3_US,ADM0_A3_FR,ADM0_A3_RU,ADM0_A3_ES,ADM0_A3_CN,ADM0_A3_TW,ADM0_A3_IN,ADM0_A3_NP,ADM0_A3_PK,ADM0_A3_DE,ADM0_A3_GB,ADM0_A3_BR,ADM0_A3_IL,ADM0_A3_PS,ADM0_A3_SA,ADM0_A3_EG,ADM0_A3_MA,ADM0_A3_PT,ADM0_A3_AR,ADM0_A3_JP,ADM0_A3_KO,ADM0_A3_VN,ADM0_A3_TR,ADM0_A3_ID,ADM0_A3_PL,ADM0_A3_GR,ADM0_A3_IT,ADM0_A3_NL,ADM0_A3_SE,ADM0_A3_BD,ADM0_A3_UA,ADM0_A3_UN,ADM0_A3_WB,CONTINENT,REGION_UN,SUBREGION,REGION_WB,NAME_LEN,LONG_LEN,ABBREV_LEN,TINY,HOMEPART,MIN_ZOOM,MIN_LABEL,MAX_LABEL,LABEL_X,LABEL_Y,NE_ID,WIKIDATAID,NAME_AR,NAME_BN,NAME_DE,NAME_EN,NAME_ES,NAME_FA,NAME_FR,NAME_EL,NAME_HE,NAME_HI,NAME_HU,NAME_ID,NAME_IT,NAME_JA,NAME_KO,NAME_NL,NAME_PL,NAME_PT,NAME_RU,NAME_SV,NAME_TR,NAME_UK,NAME_UR,NAME_VI,NAME_ZH,NAME_ZHT,FCLASS_ISO,TLC_DIFF,FCLASS_TLC,FCLASS_US,FCLASS_FR,FCLASS_RU,FCLASS_ES,FCLASS_CN,FCLASS_TW,FCLASS_IN,FCLASS_NP,FCLASS_PK,FCLASS_DE,FCLASS_GB,FCLASS_BR,FCLASS_IL,FCLASS_PS,FCLASS_SA,FCLASS_EG,FCLASS_MA,FCLASS_PT,FCLASS_AR,FCLASS_JP,FCLASS_KO,FCLASS_VN,FCLASS_TR,FCLASS_ID,FCLASS_PL,FCLASS_GR,FCLASS_IT,FCLASS_NL,FCLASS_SE,FCLASS_BD,FCLASS_UA,geometry,bus_pair
534,Salzburg Elixhausen - Tauern 231A,8.364,40.69,0.0002756119,98.5,,105065132T,38868243T,14T-220-0-0231AB,APG,Salzburg Elixhausen,Tauern,220,,,,,,,800.0,,,176.0,False,,105065132T_38868243T,72241.92528298391,Admin-0 country,1,2,Germany,DEU,0,2,Sovereign country,1,Germany,DEU,0,Germany,DEU,0,Germany,DEU,0,Germany,Germany,DEU,Germany,,Ger.,D,Federal Republic of Germany,,Germany,,,Germany,,2,5,5,1,83132799.0,16,2019,3861123,2019,1. Developed region: G7,1. High income: OECD,GM,DE,DE,DEU,DEU,276,276,276,DE,DEU,23424829,23424829,Exact WOE match as country,DEU,,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,-99,-99,Europe,Europe,Western Europe,Europe & Central Asia,7,7,4,-99,1,0.0,1.7,6.7,9.678348,50.961733,1159320539,Q183,ألمانيا,জার্মানি,Deutschland,Germany,Alemania,آلمان,Allemagne,Γερμανία,גרמניה,जर्मनी,Németország,Jerman,Germania,ドイツ,독일,Duitsland,Niemcy,Alemanha,Германия,Tyskland,Almanya,Німеччина,جرمنی,Đức,德国,德國,Admin-0 country,,Admin-0 country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (12.998933123137373 47.761315739725674, 12.865267202267527 47.511867525595356)","('105065132T', '38868243T')"
535,Salzburg Elixhausen - Tauern 232A,8.364,40.69,0.0002756119,98.5,,105065132T,38868243T,14T-220-0-0232A8,APG,Salzburg Elixhausen,Tauern,220,,,,,,,800.0,,,176.0,False,,105065132T_38868243T,72241.92528298391,Admin-0 country,1,2,Germany,DEU,0,2,Sovereign country,1,Germany,DEU,0,Germany,DEU,0,Germany,DEU,0,Germany,Germany,DEU,Germany,,Ger.,D,Federal Republic of Germany,,Germany,,,Germany,,2,5,5,1,83132799.0,16,2019,3861123,2019,1. Developed region: G7,1. High income: OECD,GM,DE,DE,DEU,DEU,276,276,276,DE,DEU,23424829,23424829,Exact WOE match as country,DEU,,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,-99,-99,Europe,Europe,Western Europe,Europe & Central Asia,7,7,4,-99,1,0.0,1.7,6.7,9.678348,50.961733,1159320539,Q183,ألمانيا,জার্মানি,Deutschland,Germany,Alemania,آلمان,Allemagne,Γερμανία,גרמניה,जर्मनी,Németország,Jerman,Germania,ドイツ,독일,Duitsland,Niemcy,Alemanha,Германия,Tyskland,Almanya,Німеччина,جرمنی,Đức,德国,德國,Admin-0 country,,Admin-0 country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (12.998933123137373 47.761315739725674, 12.865267202267527 47.511867525595356)","('105065132T', '38868243T')"
1230,LIT 400kV N0 1 LOGELBACH - MUHLBACH,0.91,9.249,0.000113708,10.823,,118079877,32196554,17T-FR-00000021A,RTE,LOGELBACH,MUHLBACH,400,2196.0,2400.0,2400.0,2596.0,,,,,,1038.4,False,,118079877_32196554,27033.11652518808,Admin-0 country,1,2,Germany,DEU,0,2,Sovereign country,1,Germany,DEU,0,Germany,DEU,0,Germany,DEU,0,Germany,Germany,DEU,Germany,,Ger.,D,Federal Republic of Germany,,Germany,,,Germany,,2,5,5,1,83132799.0,16,2019,3861123,2019,1. Developed region: G7,1. High income: OECD,GM,DE,DE,DEU,DEU,276,276,276,DE,DEU,23424829,23424829,Exact WOE match as country,DEU,,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,-99,-99,Europe,Europe,Western Europe,Europe & Central Asia,7,7,4,-99,1,0.0,1.7,6.7,9.678348,50.961733,1159320539,Q183,ألمانيا,জার্মানি,Deutschland,Germany,Alemania,آلمان,Allemagne,Γερμανία,גרמניה,जर्मनी,Németország,Jerman,Germania,ドイツ,독일,Duitsland,Niemcy,Alemanha,Германия,Tyskland,Almanya,Німеччина,جرمنی,Đức,德国,德國,Admin-0 country,,Admin-0 country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (7.522054597309737 47.930977670231904, 7.555796925628953 47.90710754488318)","('118079877', '32196554')"
1235,LIT 400kV N0 1 MAMBELIN - SIERENTZ,2.35,24.592,0.000264894,28.604,,39389229,49049745,17T-FR-00000054W,RTE,MAMBELIN,SIERENTZ,400,3465.0,3622.0,3622.0,3780.0,,,,,,1512.0,False,,39389229_49049745,68370.63511689818,Admin-0 country,1,2,Germany,DEU,0,2,Sovereign country,1,Germany,DEU,0,Germany,DEU,0,Germany,DEU,0,Germany,Germany,DEU,Germany,,Ger.,D,Federal Republic of Germany,,Germany,,,Germany,,2,5,5,1,83132799.0,16,2019,3861123,2019,1. Developed region: G7,1. High income: OECD,GM,DE,DE,DEU,DEU,276,276,276,DE,DEU,23424829,23424829,Exact WOE match as country,DEU,,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,-99,-99,Europe,Europe,Western Europe,Europe & Central Asia,7,7,4,-99,1,0.0,1.7,6.7,9.678348,50.961733,1159320539,Q183,ألمانيا,জার্মানি,Deutschland,Germany,Alemania,آلمان,Allemagne,Γερμανία,גרמניה,जर्मनी,Németország,Jerman,Germania,ドイツ,독일,Duitsland,Niemcy,Alemanha,Германия,Tyskland,Almanya,Німеччина,جرمنی,Đức,德国,德國,Admin-0 country,,Admin-0 country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (7.471345006528896 47.64632466807387, 7.472244907481821 47.64663556568658)","('39389229', '49049745')"
1252,LIT 400kV N0 1 MUHLBACH - SCHEER,1.59,17.975,0.00021535,0.0,,32196554,214483816,17T000000027264L,RTE,MUHLBACH,SCHEER,400,2202.0,2426.0,2426.0,2598.0,,,,,,1039.2,False,,32196554_214483816,50056.020036005204,Admin-0 country,1,2,Germany,DEU,0,2,Sovereign country,1,Germany,DEU,0,Germany,DEU,0,Germany,DEU,0,Germany,Germany,DEU,Germany,,Ger.,D,Federal Republic of Germany,,Germany,,,Germany,,2,5,5,1,83132799.0,16,2019,3861123,2019,1. Developed region: G7,1. High income: OECD,GM,DE,DE,DEU,DEU,276,276,276,DE,DEU,23424829,23424829,Exact WOE match as country,DEU,,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,-99,-99,Europe,Europe,Western Europe,Europe & Central Asia,7,7,4,-99,1,0.0,1.7,6.7,9.678348,50.961733,1159320539,Q183,ألمانيا,জার্মানি,Deutschland,Germany,Alemania,آلمان,Allemagne,Γερμανία,גרמניה,जर्मनी,Németország,Jerman,Germania,ドイツ,독일,Duitsland,Niemcy,Alemanha,Германия,Tyskland,Almanya,Німеччина,جرمنی,Đức,德国,德國,Admin-0 country,,Admin-0 country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (7.555796925628953 47.90710754488318, 7.543893246264093 48.05356664979594)","('214483816', '32196554')"
1253,LIT 400kV N0 1 MUHLBACH - VINCEY,3.195,36.108,0.00039753,111.227,,32196554,81758476,17T-FR-000000325,RTE,MUHLBACH,VINCEY,400,2055.0,2277.0,2277.0,2458.0,,,,,,983.2,False,,32196554_81758476,104108.48120886827,Admin-0 country,1,2,Germany,DEU,0,2,Sovereign country,1,Germany,DEU,0,Germany,DEU,0,Germany,DEU,0,Germany,Germany,DEU,Germany,,Ger.,D,Federal Republic of Germany,,Germany,,,Germany,,2,5,5,1,83132799.0,16,2019,3861123,2019,1. Developed region: G7,1. High income: OECD,GM,DE,DE,DEU,DEU,276,276,276,DE,DEU,23424829,23424829,Exact WOE match as country,DEU,,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,-99,-99,Europe,Europe,Western Europe,Europe & Central Asia,7,7,4,-99,1,0.0,1.7,6.7,9.678348,50.961733,1159320539,Q183,ألمانيا,জার্মানি,Deutschland,Germany,Alemania,آلمان,Allemagne,Γερμανία,גרמניה,जर्मनी,Németország,Jerman,Germania,ドイツ,독일,Duitsland,Niemcy,Alemanha,Германия,Tyskland,Almanya,Німеччина,جرمنی,Đức,德国,德國,Admin-0 country,,Admin-0 country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (7.555796925628953 47.90710754488318, 7.520112068797299 47.92007348890587)","('32196554', '81758476')"
1254,LIT 400kV N0 1 MUHLBACH-SIERENTZ,0.959,10.713,0.00011574,32.691,,32196554,49049745,17T-FR-000000317,RTE,MUHLBACH,SIERENTZ,400,2202.0,2426.0,2426.0,2598.0,,,,,,1039.2,False,,32196554_49049745,29622.737433271952,Admin-0 country,1,2,Germany,DEU,0,2,Sovereign country,1,Germany,DEU,0,Germany,DEU,0,Germany,DEU,0,Germany,Germany,DEU,Germany,,Ger.,D,Federal Republic of Germany,,Germany,,,Germany,,2,5,5,1,83132799.0,16,2019,3861123,2019,1. Developed region: G7,1. High income: OECD,GM,DE,DE,DEU,DEU,276,276,276,DE,DEU,23424829,23424829,Exact WOE match as country,DEU,,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,-99,-99,Europe,Europe,Western Europe,Europe & Central Asia,7,7,4,-99,1,0.0,1.7,6.7,9.678348,50.961733,1159320539,Q183,ألمانيا,জার্মানি,Deutschland,Germany,Alemania,آلمان,Allemagne,Γερμανία,גרמניה,जर्मनी,Németország,Jerman,Germania,ドイツ,독일,Duitsland,Niemcy,Alemanha,Германия,Tyskland,Almanya,Німеччина,جرمنی,Đức,德国,德國,Admin-0 country,,Admin-0 country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (7.555796925628953 47.90710754488318, 7.472244907481821 47.64663556568658)","('32196554', '49049745')"
1386,LIT 400kV N0 2 MUHLBACH-SIERENTZ,1.3,10.7,8.94e-05,0.3,,32196554,49049745,17T-FR-000000333,RTE,MUHLBACH,SIERENTZ,400,2202.0,2425.0,2426.0,2598.0,,,,,,1039.2,False,,32196554_49049745,29622.737433271952,Admin-0 country,1,2,Germany,DEU,0,2,Sovereign country,1,Germany,DEU,0,Germany,DEU,0,Germany,DEU,0,Germany,Germany,DEU,Germany,,Ger.,D,Federal Republic of Germany,,Germany,,,Germany,,2,5,5,1,83132799.0,16,2019,3861123,2019,1. Developed region: G7,1. High income: OECD,GM,DE,DE,DEU,DEU,276,276,276,DE,DEU,23424829,23424829,Exact WOE match as country,DEU,,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,-99,-99,Europe,Europe,Western Europe,Europe & Central Asia,7,7,4,-99,1,0.0,1.7,6.7,9.678348,50.961733,1159320539,Q183,ألمانيا,জার্মানি,Deutschland,Germany,Alemania,آلمان,Allemagne,Γερμανία,גרמניה,जर्मनी,Németország,Jerman,Germania,ドイツ,독일,Duitsland,Niemcy,Alemanha,Германия,Tyskland,Almanya,Німеччина,جرمنی,Đức,德国,德國,Admin-0 country,,Admin-0 country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (7.555796925628953 47.90710754488318, 7.472244907481821 47.64663556568658)","('32196554', '49049745')"
1437,LIT 225kV N0 1 ARGIESANS-SIERENTZ,4.645,21.857,0.000151878,54.5,,123120808,49049745T,17T000000015943H,RTE,ARGIESANS,SIERENTZ,220,654.0,758.0,758.0,857.0,,,,,,188.54,False,,123120808_49049745T,49717.879500306,Admin-0 country,1,2,Germany,DEU,0,2,Sovereign country,1,Germany,DEU,0,Germany,DEU,0,Germany,DEU,0,Germany,Germany,DEU,Germany,,Ger.,D,Federal Republic of Germany,,Germany,,,Germany,,2,5,5,1,83132799.0,16,2019,3861123,2019,1. Developed region: G7,1. High income: OECD,GM,DE,DE,DEU,DEU,276,276,276,DE,DEU,23424829,23424829,Exact WOE match as country,DEU,,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,-99,-99,Europe,Europe,Western Europe,Europe & Central Asia,7,7,4,-99,1,0.0,1.7,6.7,9.678348,50.961733,1159320539,Q183,ألمانيا,জার্মানি,Deutschland,Germany,Alemania,آلمان,Allemagne,Γερμανία,גרמניה,जर्मनी,Németország,Jerman,Germania,ドイツ,독일,Duitsland,Niemcy,Alemanha,Германия,Tyskland,Almanya,Німеччина,جرمنی,Đức,德国,德國,Admin-0 country,,Admin-0 country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (7.4713900234157 47.64657736567564, 7.472244907481821 47.64663556568658)","('123120808', '49049745T')"
1721,LIT 225kV N0 1 GUEBWILLER - VOGELGRUN,2.087,13.943,9.8342e-05,34.526,,146449312,81638061,17T0000000245304,RTE,GUEBWILLER,VOGELGRUN,220,1070.0,1155.0,1155.0,1265.0,,,,,,278.3,False,,146449312_81638061,29046.966769542523,Admin-0 country,1,2,Germany,DEU,0,2,Sovereign country,1,Germany,DEU,0,Germany,DEU,0,Germany,DEU,0,Germany,Germany,DEU,Germany,,Ger.,D,Federal Republic of Germany,,Germany,,,Germany,,2,5,5,1,83132799.0,16,2019,3861123,2019,1. Developed region: G7,1. High income: OECD,GM,DE,DE,DEU,DEU,276,276,276,DE,DEU,23424829,23424829,Exact WOE match as country,DEU,,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,-99,-99,Europe,Europe,Western Europe,Europe & Central Asia,7,7,4,-99,1,0.0,1.7,6.7,9.678348,50.961733,1159320539,Q183,ألمانيا,জার্মানি,Deutschland,Germany,Alemania,آلمان,Allemagne,Γερμανία,גרמניה,जर्मनी,Németország,Jerman,Germania,ドイツ,독일,Duitsland,Niemcy,Alemanha,Германия,Tyskland,Almanya,Німеччина,جرمنی,Đức,德国,德國,Admin-0 country,,Admin-0 country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (7.53542797764525 48.006047746777334, 7.572465348870172 48.01884216825072)","('146449312', '81638061')"
